,Baslik,Ozet,Kategori,Link,Icerik
0,Yaşlanmaya karşı yeni umut: Su ayıları,"Bilim insanları, tardigrad proteinlerinin insan hücrelerindeki metabolizmayı yavaşlatabildiğini keşfetti ve bu, bir gün yaşlanma sürecini yavaşlatan teknolojilere önayak olabilecek bir gelişme.",Sağlık,https://www.trthaber.com/haber/saglik/yaslanmaya-karsi-yeni-umut-su-ayilari-848319.html,"Tardigradlar, yani su ayıları, dünyanın en yok edilemez yaşam formlarından biri ve ekstrem koşullarda hayatta kalma becerisi gösteriyor. Tamamen kurutulduklarında, dondurulduklarında, 150 santigrat derecenin üzerinde ısıtıldıklarında, bir insanın dayanabileceğinin birkaç bin kat ötesinde ışığa maruz kaldıklarında ve hatta uzay boşluğunda hayatta kalabiliyorlar. Önceki çalışmalar, yarım milimetreden daha kısa olan bu canlıların ekstrem koşullara maruz kaldıklarında vücutlarını korumak için bitkisel hayata girebildiklerini göstermişti. Bilim insanları, tardigradların çevresel streslerle karşılaştıklarında bu geçici ölüm haline girmek ve bu halden çıkmak için hangi mekanizmaları kullandıklarını bulmaya çalıştı. Şimdi ABD'deki Wyoming Üniversitesi (UW) liderliğindeki bir araştırma ekibi, su ayılarının yaşam süreçlerini yavaşlatmak için hücrelerinin içinde jel oluşturan proteinler kullandığını buldu. Bu proteinler insan hücrelerine eklendiğinde, moleküllerin tıpkı tardigradlarda olduğu gibi jelleştiğini ve metabolizmayı yavaşlattığını keşfettiler. Hücreleri geçici ölüm haline sokuyor strese direnci artıyor Araştırmacılar ayrıca, bu tardigrad proteinlerini üreten insan hücreleri geçici ölüm haline sokulduğunda, hücrelerin streslere karşı daha dirençli hale geldiğini tespit etti. Su ayılarının bazı becerilerini insan hücrelerine kazandıran bu sürecin tersine çevrilebilir olduğu da saptandı. UW'den çalışmanın ortak yazarı Thomas Boothby, ""Stres ortadan kalktığında, tardigrad jelleri çözülür ve insan hücreleri normal metabolizmalarına geri döner"" dedi. Önceki araştırmalar, hemofili hastalarının tedavisinde kullanılan önemli bir ilacın tardigrad proteinlerinin farklı türleriyle stabilize edilebileceğini ortaya koymuştu. Son bulgu, yaşlanmayı yavaşlatmak için hücrelerde ve hatta tüm organizmalarda geçici ölüm halinin başlatılmasına odaklanan yeni teknolojilerin geliştirilmesine önayak olabilir. Ayrıca bu bulgu, tardigradlardan elde edilen proteinlerin, soğutmanın mümkün olmadığı yerlerde hayat kurtaran tedavileri insanlara ulaştırmak ve kök hücre gibi tedavilerin depolanma potansiyelini arttırmak için kullanılabileceğine dair ek kanıtlar sunuyor."
1,Sessiz Katil: Her 90 saniyede bir can alıyor,"ABD'nin ""Sessiz Katili"" her yıl yüz binlerce can alıyor ve vakalar sürekli artıyor. Doktorlar her 90 saniyede bir Amerikalının ölümüne neden olan sepsis krizi konusunda uyarıyor.",Sağlık,https://www.trthaber.com/haber/saglik/sessiz-katil-her-90-saniyede-bir-can-aliyor-848082.html,"Hafif bir enfeksiyon, küçük bir yaralanma ya da sadece bir sıyrık olarak başlayan şey yıkıcı hale gelebilir. Bisikletten düşüp dizini sıyıran küçük çocuk, isilik olan bir kadın ya da görünüşte masum bir boğaz enfeksiyonu geçiren bir adam... Onlar birkaç saniye içinde ölümcül hale gelen küçük, tedavi edilebilir sessiz katilin kurbanı oldu. Arizona'dan 65 yaşındaki Janice Holloway, oğluyla tatile çıkmaya hazırlanırken bacağının arkasında bir kızarıklık olduğunu fark etti. Yüksek ateşi olmasına rağmen bunu önemsemedi ve planlarına devam etti. Ancak, yaklaşık iki hafta sonraki yolculukta, nefes almakta zorlanmaya başladı ve ""Bir saat içinde çoklu organ yetmezliğiyle savaşmaya başladım"" dedi. Hızlıca hastaneye giden Holloway'e sepsis teşhisi konuldu. Sepsis hastalarında sıklıkla görüldüğü gibi, asıl enfeksiyona neden olan şey hiçbir zaman keşfedilemedi. Holloway, iki hafta boyunca tıbbi olarak komada kaldı. Doktorlar Holloway'in her iki bacağını dizinin hemen altından ve sağ elindeki iki eklemle birlikte kesmek zorunda kaldı. 6 yaşında 21 ameliyat Arizona'dan Beauden Baumkirchner, henüz üç yaşındayken bisikletten düşmüş ve dizinden yaralandı. Ailesi başlangıçta önemli bir şeyi olmadığını düşünse de ertesi gün ateşi çıkıp kusmaya başlayınca hastaneye gitti ve burada vücudu iflas etti. Baumkirchner, sepsise girdikten sonra yoğun bakım ünitesinde iki ay geçirdi, iki bacağı ve üç parmağı kesilmek zorunda kaldı ve şimdi altı yaşında olan çocuk 21 ameliyat geçirdi. Vakalar yüzde 20 artış gösterdi Sepsisin erken belirtilerini yakalamak çok zordur ve bunu fark etmek için genellikle hastalığın farkında olan bilinçli bir doktor gerekir. Sepsisi tetikleyen tüm enfeksiyonların endişe verici üçte biri hastanede kapılmaktadır. Her yıl 1,7 milyon Amerikalının sepsisten etkilendiğini söyleyen en son CDC verilerine göre, 2019-2021 yılları arasında vakalar yüzde 20 artış gösterdi. 90 saniyede 1 kişi hayatını kaybediyor Her yıl 350 bin Amerikalı bu hastalıktan ölüyor ki bu da her 90 saniyede bir hastaya denk. Buna rağmen, ABD'deki hastanelerin dörtte birinde sepsisin yaygınlığına rağmen herhangi bir sepsis protokolü bulunmuyor. Sepsis yardım kuruluşları, milyonlarca ölüm ve yaralanmanın önlenmesi için acil ulusal eylem çağrısında bulundu."
2,Kontrolsüz takviye gıdalar can alıyor,"Japonya’da takviye diyet gıdası tüketen 4 kişi yaşamını yitirdi. Olay sonrası gözler takviye diyet gıdalarına çevrildi. Özellikle sosyal medyada sıkça tanıtımı yapılan bu gıdalar için uzmanların görüşü, mutlaka hekim önerisi ve kontrolünde kullanılması gerektiği…",Sağlık,https://www.trthaber.com/haber/saglik/kontrolsuz-takviye-gidalar-can-aliyor-847461.html,"Takviye diyet ürünlerin sağlık üzerindeki etkileri öteden beri tartışılıyor. Nitekim Japonya’da yaşanan bir olay sonrası tartışma yeniden alevlendi. Japonya’da kırmızı pirinç mayası içeren takviye diyet gıdası nedeniyle hayatını kaybedenlerin sayısı 4’e yükseldi. Ölenlerinden birinin böbrek rahatsızlığı semptomları gösterdiği ifade edildi. Takviye diyet gıdayı üreten firmanın açıklamasına göre 100 kişi de hastaneye kaldırıldı. Günümüzde “mucize ürünler” adı altında özellikle sosyal medyada çok sayıda takviye gıda ve ilacın tanıtımı yapılıyor. Ne var ki kolay yoldan hızla zayıflamak isteyenler tarafından büyük rağbet gören bu ürünler sanıldığı kadar masum değil. Peki takviye diyet ürünler hangi sağlık problemlerine yol açıyor? Neden hayati tehlikelere sebep olabiliyor? Endokrinoloji ve Metabolizma Hastalıkları Uzmanı Doç. Dr. Savaş Karataş’la merak edilen sorulara yanıt aradık. “Bu ürünler genelde mucize olarak sunuluyor” Sözlerine Japonya’da ölümlere sebep olan diyet amaçlı gıda takviyesiyle başlayan Doç. Dr. Karataş, “Söz konusu ürün, ‘kolesterol düzeyini düşürüyor’ diyerek pazarlanmış. Ancak kolesterol düzeyini düşüren bilimsel olarak kanıtlanmış ilaçlar zaten var. Hastalar bunları kullanıyor ve başarılı bir şekilde tedavi oluyorlar” diyor.   Bu tür takviyelerin özellikle de ilaçların, bilimsel dünyada onaylanması gerektiğinin altını çizen Doç. Dr. Karataş, “Bunların önce hayvan sonra binlerce insan deneyinden geçmesi gerekiyor. Tüm bu bilimsel çalışmalarla desteklenmemiş ürünlerin kullanılmaması gerekiyor. Şu an bizim kullandığımız kolesterol ilaçları tüm bu aşamaları geçmiş ürünler” diye açıklıyor.   Böbrek ve karaciğer yetmezliğine yol açabiliyorlar Takviye edici gıdalar adı altında kilo vermeyi vadeden sayısız ürün bulunuyor. Özellikle sosyal medyada bu ürünlerle ilgili tanıtımlara ve tavsiyelere sıkça yer veriliyor. “Bu ürünler genelde mucize olarak sunuluyor. Her yıl mucize diye bilinen birçok ilaç ya da besin maddesi, yan etkileri nedeniyle piyasadan çekiliyor” diyen Doç. Dr. Karataş, bunların neden olabileceği olası sağlık sorunlarını şöyle açıklıyor: Alerjik yan etkiler yaratabiliyorlar. Böbrek ve karaciğer yetmezliğine yol açabiliyorlar. Hatta kendi pratik kliniğimizde de bu nedenle yoğun bakıma karaciğer ve böbrek yetmezliğiyle yatan hastaları gördük. Bunlar hayati tehlike oluşturabiliyorlar.   Gençler bu ürünleri daha çok kullanıyor Özellikle genç yaş grubunda bu ürünlerin kullanımına daha sık rastladıklarını ifade eden Doç. Dr. Karataş, “Çevrede söylenenlerden, sosyal medyada yazanlardan çok etkileniyorlar ve bilinçsiz bir şekilde alıp kullanabiliyorlar” diyerek bu konuda bir de örnek veriyor: Mesela sosyal medyada yabancı bir kullanıcı Brezilya cevizini avuçlayarak yiyor. Halbuki vücudun selenyum ihtiyacını karşılamak için iki tane Brezilya cevizi yetiyor. İkiden fazla yenirse selenyum zehirlenmesi gelişiyor. Selenyum zehirlenmesinde cilt döküntüsünden diyabete kadar giden birçok yan etki görülebiliyor.   Takviye diyet ürünlerinin hepsi zararlı mı? Doç. Dr. Karataş, “Mucize ilaç ya da besin diye bir şey yok” diyerek uyarıda bulunuyor. “Esas olması gereken kişinin kendi vücut gereksinimlerini ve bütünlüğünü diyet, yaşam tarzı ve bilimsel yöntemleri uygulayarak sağlaması. Herhangi bir emilim bozukluğu ya da metabolik hastalığı olmadığı sürece tüm gereksinimlerini sağlıklı bir beslenme tarzı ile elde edebilirler.” Peki, piyasada satılan tüm takviye diyet ürünleri zararlı mı? Yanıtını Doç. Dr. Karataş’tan öğreniyoruz. “Kesinlikle hepsi için aynı şey söz konusu değil. Ancak bu konuyla ilgili uzman önerilerine dikkat etmeleri gerekiyor. Zayıflamak isteyenler öncelikle bir diyet uzmanıyla görüşmeliler. Kullanacakları ürünleri de mutlaka doktora danışmalılar.”"
3,Japonya'da takviye diyet gıdası 100'ü aşkın kişiyi hastanelik etti,"Japonya'da takviye diyet gıdası ""beni-koji"" tüketen 100'ü aşkın kişinin hastaneye kaldırıldığı bildirildi.",Sağlık,https://www.trthaber.com/haber/saglik/japonyada-takviye-diyet-gidasi-100u-askin-kisiyi-hastanelik-etti-847106.html,"Japonya'da Kobayashi Pharmaceutical Co. firmasından yapılan açıklamaya göre, kırmızı pirinç mayası içeren ""beni-koji"" tüketen 100'ü aşkın kişi hastaneye kaldırıldı. Hastaların çoğunun ""böbrek rahatsızlığından"" şikayet ettiği aktarıldı. Japon firma, ülke geneli çeşitli bölgelerde söz konusu ürünü piyasadan toplatma kararı aldığını açıkladı. Bakanlık acil denetim yapacak Sağlık Bakanlığı, ürünü tüketenlerden iki kişinin hayatını kaybettiğini, ölüm sebebi için tetkiklerin sürdüğünü duyurdu. Hayatını kaybedenlerden birinin, Nisan 2021-Şubat 2024 arası bu ürünü tükettiği tespit edildi. Bakanlık, markanın ürün kategorisindeki yaklaşık 6 bin mamulün ""sağlığa zararına yönelik"" acil denetimler yapacak. Resmi Kyodo ajansı, 2023 yılında firmanın 18,5 ton ""beni-koji"" içeriği ürettiği ve 16,1 tonunu 50'yi aşkın firmaya satışını gerçekleştirdiğini aktardı."
4,Araştırma: Kahve içmek bağırsak kanserinin tekrarlama riskini azaltıyor,"Yeni araştırmaya göre, kahve içenlerin bağırsaklarında kanserli tümörlerin yeniden büyüme riski çok daha düşük.",Sağlık,https://www.trthaber.com/haber/saglik/arastirma-kahve-icmek-bagirsak-kanserinin-tekrarlama-riskini-azaltiyor-847105.html,"Hollanda'da bin 719 kişi arasında yapılan gözlemsel bir çalışma, günde en az iki fincan kahve tüketen kolorektal kanserli hastaların gelecekte nüksetme ihtimalinin daha düşük olduğunu ortaya çıkardı. Günde birkaç bardak kahve içmek de erken ölüm olasılığını azaltıyor gibi görünüyor. Bu durumun, analizin dışında bırakılan bağırsak kanserinin son evreleri dışındaki tüm hastalar için geçerli olduğu tespit edildi. Günümüzde bağırsak kanseri hastaların yüzde 30'una kadar tedaviden sonra yeniden ortaya çıkıyor. Bu, Hollanda'daki son bulguların daha büyük çalışmalarla doğrulanması durumunda, kahvenin bir gün bazı kanser hastaları için hayat değiştiren bir ilaç olarak tanınabileceği anlamına geliyor. Araştırma sonuçlarına göre, günde iki fincandan az kahve içen kolorektal kanser hastalarıyla karşılaştırıldığında, günde en az beş fincan kahve içenlerin, önümüzdeki altı yıl içinde hastalıklarının tekrarlama ihtimali yüzde 32 daha düşük. Hollanda'daki Wageningen Üniversitesi'ndeki bilim insanlarının liderliğindeki uluslararası bir araştırma ekibine göre, aynı zaman diliminde, bir hastanın ne kadar kahve içtiği ile herhangi bir nedenden ölme riski arasında da gözle görülür bir bağlantı var. Hollanda'daki çalışma, kahve içmenin bağırsak kanseri hastalarında sadece hayatta kalma oranlarını değil, hastalığın nüksetme oranlarını da nasıl etkilediğini inceleyen ilk çalışmalardan biri."
5,Araştırma: İnsan beyni nesilden nesile büyüyor,"Yeni araştırmalara göre insan beyninin boyutu zaman içinde kademeli olarak artıyor ve bu durum, genç nesillerde demans riskini azaltabilir.",Sağlık,https://www.trthaber.com/haber/saglik/arastirma-insan-beyni-nesilden-nesile-buyuyor-847104.html,"Yaşları 55 ile 65 arasında değişen üç binden fazla Amerikalının beyinlerini görüntüleyen araştırmada, 1970'lerde doğanların 1930'larda doğanlara göre yüzde 6,6 daha fazla genel beyin hacmine sahip olduğu ortaya çıktı. X Kuşağı üyeleri (1965 ve 1980 seneleri arasında doğan insanlar) ayrıca Sessiz Kuşak (1928'den 1945'e kadar doğan insanlar) üyelerine kıyasla neredeyse yüzde 8 daha fazla beyaz madde hacmine ve neredeyse yüzde 15 daha fazla gri madde yüzey alanına sahip. Beynin, hafıza ve öğrenmede önemli bir rol oynayan, hipokampus adı verilen belirli bir kısmı, incelenen ardışık nesiller boyunca hacim olarak yüzde 5,7 oranında genişledi. Bu, boy, yaş ve cinsiyet gibi diğer katkıda bulunan faktörler dikkate alındıktan sonra bile doğruydu. Araştırmayı yöneten California Davis Üniversitesi'nden nörolog Charles DeCarli, ""Birinin doğduğu on yıl, beyin büyüklüğünü ve potansiyel olarak uzun vadeli beyin sağlığını etkiliyor gibi görünüyor"" diye açıklıyor . ""Genetik, beyin boyutunun belirlenmesinde önemli bir rol oynuyor, ancak bulgularımız sağlık, sosyal, kültürel ve eğitimsel faktörler gibi dış etkilerin de rol oynayabileceğini gösteriyor."" Demansa yönelik umut verici gelişmeler Bugün demans dünya çapında on milyonlarca insanı etkiliyor ve dünyanın yaşlanan nüfusu arttıkça, hastalığa ilişkin teşhisler önümüzdeki otuz yılda üç katına çıkacak. Ancak dikkate alınması gereken umut verici bir şey var: Son otuz yılda ABD ve Avrupa'da demans vakaları her on yılda yaklaşık yüzde 13 oranında düştü . Genç nesillerde demansın mutlak riski, muhtemelen daha sağlıklı yaşam tarzları ve yetiştirilme tarzları nedeniyle azalıyor gibi görünüyor. Demans, diğer birçok bilişsel sürecin yanı sıra hafıza, öğrenme ve muhakemede rol oynayan, korteks adı verilen beynin gri maddesinin incelmesiyle kendini gösteriyor.  "
6,SGK geçen yıl sağlığa 553 milyar lira harcadı,"Sosyal Güvenlik Kurumu'nun (SGK), 2023 yılındaki sağlık harcamaları 2022'ye göre yüzde 95,3 artışla 553 milyar 143 milyon lira oldu. Ayrıca SGK'nın geri ödeme listesinde 881'i kanser tedavisinde kullanılanlar olmak üzere toplam 8 bin 844 ilaç bulunuyor.",Sağlık,https://www.trthaber.com/haber/saglik/sgk-gecen-yil-sagliga-553-milyar-lira-harcadi-846946.html,"SGK'nın 2023 Yılı Faaliyet Raporu'ndan derlenen bilgiye göre, Kurumun geçen yıl toplam geliri 2 trilyon 192 milyar 955 milyon lira olurken, toplam gideri 2 trilyon 232 milyar 339 milyon lirayı buldu. Genel Sağlık Sigortasının (GSS) kapsamının genişlemesi ve sağlık hizmetlerine kolay erişimin sağlanması gibi gelişmeler, Kurumun sağlık harcamalarını etkiledi. 2022 yılında 283 milyar 224 milyon lira olan sağlık harcamaları, 2023'ün sonu itibarıyla yüzde 95,3 artışla 553 milyar 143 milyon lirayı buldu. Bu tutarın yüzde 66,4'ünü tedavi harcamaları, yüzde 33,6'sını ise ilaç, reçete hizmet bedeli ve diğer kalemler oluşturdu. Geri ödeme listesinde 8 bin 844 ilaç bulunuyor Sağlık harcamaları kapsamında devlet hastanelerine 258 milyar lira, üniversite hastaneleri 74 milyar 573 milyon lira, özel hastanelere ise 34 milyar 525 milyon lira ödeme yapıldı. Kurum, 2023 yılında ilaca toplam 178 milyar 273 milyon lira öderken, ilaç harcamasında 41,6 milyar lira ile kanser tedavisinde kullanılan ilaçlar ilk sırada yer aldı. Son eklenenlerle SGK'nın geri ödeme listesinde 881'i kanser tedavisinde kullanılanlar olmak üzere toplam 8 bin 844 ilaç bulunuyor."
7,Çocuklarda epilepsi sık görülüyor,"Genellikle ""sara"" ismiyle bilinen epilepsi hastalığı ileri yaştakiler kadar çocuklarda da sık görülüyor. Epilepsi nöbetleri bazı çocuklarda büyümeyle birlikte ortadan kalkarken bazılarında ise hayat boyu sürüyor. Uzmanlar erken tanı ve etkili tedavinin çocuğun yaşam kalitesini artırdığını söylüyor.",Sağlık,https://www.trthaber.com/haber/saglik/cocuklarda-epilepsi-sik-goruluyor-846890.html,"Epilepsi, dünya genelinde sık görülen nörolojik bir bozukluk… Tüm yaş gruplarında aktif epilepsi oranı her bin kişide 4 ila 10 arasında. Dünya nüfusunun yaklaşık yüzde 1’ini etkileyen epilepsi, Türkiye’de ise 1 milyon kadar kişide görülüyor. Yine Türkiye’de 200 bin çocukta epilepsi olduğu tahmin ediliyor. Peki çocuklarda epilepsi nasıl seyrediyor? Kalıcı hale geliyor mu? Aileler bu süreçte nelere dikkat etmeli? Çocukluk çağında ortaya çıkan epilepsiyle ilgili merak edilenleri Marmara Üniversitesi Pendik Eğitim ve Araştırma Hastanesi Çocuk Nöroloji Bilim Dalı Kliniği’nden Uzm. Dr. İsmail Hakkı Akbeyaz’la konuştuk.   Bazı çocuklarda nöbetler büyüdükçe azalıyor “Epilepsi beyin hücrelerinin normal elektriksel aktivitesinin bir şekilde bozulması sonucu ortaya çıkan nörolojik bir bozukluk” diyen Uzm. Dr. Akbeyaz, hastalığın tekrarlayan nöbetler, yani ataklar ile seyrettiğini söylüyor. Yeni teşhis koyulan epilepsi hastaları içerisinde sıklıkla çocukların da olduğunun altını çizen Uzm. Dr. Akbeyaz sözlerini şöyle sürdürüyor: “Çocukluk çağı epilepsisi farklı nöbet tiplerini içerebiliyor. Bulguları çocukların yaşına, gelişim düzeyine ve epilepsiye neden olan etkenlere bağlı olarak farklılık gösterebiliyor.” Bazı çocuklarda nöbetlerin büyümeyle birlikte azaldığını veya ortadan kalktığını belirten Uzm. Dr. Akbeyaz, bazı çocuklarda ise hayat boyu nöbetlerin devam edebileceğini ifade ediyor.   Hastalığı tetikleyen çok fazla faktör var Epilepsi nöbeti sırasında hastalarda pek çok belirti gözleniyor. Vücutta ani kasılmalar, hızlı bir şekilde baş sallama, çenede kilitlenme, şuur kaybı, kısa süreliğine de olsa konuşmalara yanıt verememe ve bakışların bir noktaya kilitlenmesi bu hastalığın en önemli belirtileri arasında yer alıyor.   Nöbetlerle gelen epilepsiyi tetikleyen pek çok etken bulunuyor. Uzm. Dr. Akbeyaz bu faktörleri şöyle sıralıyor: “Yüksek ateş, uyku düzeninde değişiklikler, stres ve duygusal faktörler, flaş ve parlak ışıklar, video oyunları, bazı besinler, ilaçlar ve hormonal değişiklikler…” Kişiye özgü tedaviler umut veriyor Peki çocuklarda görülen epilepsi tedavi edilebiliyor mu? Yanıtını Uzm. Dr. Akbeyaz’dan öğreniyoruz: “Çocukluk çağında görülen epilepsi, çoğu durumda tedavi edilebiliyor veya nöbetler kontrol altına alınabiliyor. Tedavi genellikle çocuğun nöbet türüne, nöbetlerin sıklığına, şiddetine ve epilepsinin altında yatan nedenlere bağlı olarak belirleniyor.” Tedavide ise genellikle birinci basamak olarak nöbet ilaçlarıyla başlanıyor. Tabii bunlar yine çocuğun yaşına ve gelişimine göre ayarlanıyor. “Aynı zamanda tedavide birden çok ilaç birlikte de kullanılabiliyor” diyen Uzm. Dr. Akbeyaz şunları anlatıyor: “İkiden fazla ilaç ile kontrol altına alınamayan epilepsi dirençli epilepsi olarak adlandırılıyor. Dirençli epilepsi tedavisinde ketojenik diyet, epilepsi cerrahisi ve beyin pili gibi yöntemler yer alıyor. Ayrıca günümüzde moleküler genetik teknolojilerinin ilerlemesiyle birlikte kişiye özgü tedavilerdeki gelişmeler de oldukça umut veriyor.” Erken tanı çok önemli Epilepsiyle yaşayan sadece çocuklar değil. Madalyonun öbür yüzünde ise aileleri yer alıyor. Söz konusu bir hastalık olduğunda aileler de bazen çaresiz kalıp nasıl bir yol izlemeleri gerektiğine karar veremiyor. “Önemli olan, epilepsi tanısı konmuş bir çocuğun düzenli olarak çocuk nöroloji uzmanı tarafından takip edilmesi ve uygun tedavi planının belirlenmesi” diyen Uzm. Dr. Akbeyaz, ailelere şöyle sesleniyor: “Erken tanı ve etkili tedavi, çocuğun yaşam kalitesini artırıyor ve nöbetlerin kontrol altına alınmasına yardımcı oluyor. Özellikle dirençli epilepsi hastalarında ailelerden çocuklarında görülen sık ve yoğun nöbetlere rağmen hastalığın tedavisinde, nöbetlerin kontrol altına alınmasında veya hastanın yaşam kalitesinin artırılmasında birçok farklı yöntem bulunduğunun bilincinde olmalarını istiyoruz. Günümüzde tanı, tedavi ve hastalığa yaklaşımlar konusundaki gelişmelerin heyecan verici olduğunu ve ailelerin hastalık seyrinde hiçbir zaman umutlarını kaybetmemelerini istiyoruz.”"
8,Japonya’da satılan gıda takviyesi 26 kişiyi hastanelik etti,Japonya'da kırmızı pirinç mayasından üretilen ve kötü huylu kolesterolü düşürdüğü iddia edilen gıda takviyeleri kullanan 26 kişiyi hastanelik etti. Yan etki gösteren takviyelerin piyasadan toplatılacağı açıklandı.,Sağlık,https://www.trthaber.com/haber/saglik/japonyada-satilan-gida-takviyesi-26-kisiyi-hastanelik-etti-846839.html,"Japonya'da faaliyet gösteren özel bir firma tarafından kırmızı pirinç mayası kullanılarak üretilen ve kötü huylu kolesterolü düşürdüğü iddia edilen gıda takviyeleri 26 kişinin hastaneye kaldırılmasına neden oldu. Firmadan yapılan açıklamada, geçen hafta böbrek yetmezliği dahil farklı şikayetlerle hastaneye kaldırılan 6 kişiye ek olarak dün de ürünleri kullanan 20 kişinin hastaneye kaldırıldığı bildirildi. Gelişmenin ardından, 300 bin paket “Beni Koji Choleste Help” adlı ürün dahil 5 farklı takviyenin şirket tarafından piyasadan toplatılmaya başlandığı kaydedildi. Şirket müşterilere ürünü kullanmayı bırakmaları çağrısında bulundu. Üretim sürecinde kullanılan küflerden elde edilen bilinmeyen bir bileşenin yan etkiye neden olduğu ihtimali üzerinde durulurken konuyla ilgili detaylı inceleme başlatıldı."
9,Trabzon Şehir Hastanesi'nin yapımı sürüyor,"Trabzon’da Şenol Güneş Spor Kompleksi’nin yanındaki dolgu alanında yapımı süren 900 yataklı Şehir Hastanesi’nin kaba inşaatı tamamlandı. Yapım çalışmaları süren şehir hastanesi inşaatında yüzde 33 seviyelerine gelinirken, deprem izolatörlerinin ise yüzde 95’i takıldı.",Sağlık,https://www.trthaber.com/haber/saglik/trabzon-sehir-hastanesinin-yapimi-suruyor-846701.html,"Şenol Güneş Spor Kompleksi'nin yanındaki dolgu alanında yapımına başlanan Trabzon Şehir Hastanesi’ndeki çalışmalar sürüyor. Toplam 900 nitelikli yatak sayısı sahip olacak şekilde projelendirilen ve bin 461’e tamamlanacak şekilde yatak kapasitesi arttırılabilir durumda olan Trabzon Şehir Hastanesi inşaatı yüzde 33 seviyelerine geldi. Kentteki yoğun bakım kapasitesini iki katına çıkartacak olan Trabzon Şehir Hastanesi’nde 300 poliklinik ve 33 ameliyathane olacak. 4 bin 300 fore kazığın kullandığı şehir hastanesi depreme dayanıklı olarak inşa edilen 562 sismik izolatör ile korunacak. Deprem izolatörlerinin yüzde 95’i takılarak monte edilirken, inşaatının kaba inşaatı ise tamamlandı. 2025 yılının Şubat ayında hizmete girmesi planlanan şehir hastanesinde yanık tedavi ünitesi, nükleer tıp ünitesi, radyoterapi alanı, diyabet ünitesi, kan transfüzyon merkezi, uyku laboratuvarı ve genetik laboratuvar yer alacak.   Trabzon Şehir Hastanesi’ndeki çalışmaları inceleyen Trabzon İl Sağlık Müdürü Dr. Hakan Usta, yaptığı açıklamada, inşaatının yüzde 33 seviyelerine geldiğini belirterek kaba inşaatının ise yüzde 99 oranında tamamlandığını söyledi. 1.5 yıl içerisinde vatandaşların hastanenin hizmetlerinden yararlanacağını kaydeden Usta, “Hastanemiz hem yoğun bakımı ile hem yatak kapasitesi ile hem de diğer teknolojik kapasiteli ile hizmetlerin bütünleşik olarak tek çatı altında verilebilmesiyle öne çıkan bir yapılanma. İnşallah halkımız 1.5 yıl içerisinde bu hizmetten net bir şekilde istifade etmiş olacak” dedi. “Fore kazıkların hepsi çakıldı” Deprem izolatörlerinin yüzde 95’inin takıldığını vurgulayan Usta, “Bin 461 yatak kapasitesine kadar çıkarılabilir yapısı var. 900 yatak kapasiteli olarak görülüyor. Ama yoğun bakım yatakları ve her odayı çift yatağa çevirebilme durumu söz konusu olabiliyor. Dolayısıyla istediğimiz zaman bin 461 yatağa kadar çıkabilecek bir durum söz konusu. Deprem izolatörlerinin de yüzde 95’i takıldı, monte edildi. Diğer fore kazıkların hepsi çakıldı, o anlamda bir eksiğimiz yok. İnşallah hem fore kazık sistemi ile hem deprem izolatörleri ile ciddi bir şekilde depreme karşı dayanıklılığı sağlamış bir bina” şeklinde konuştu.   “Şehir hastanesinin dört bir tarafından yollar yapılması planlanmakta” Trabzonspor’un stadının yanında inşa edilen Şehir hastanesine ulaşımda acil hastaların gelebilmesini engelleyecek bir durumun söz konusu olmayacağını belirten Usta, “Karayolları ile yapılan çalışmalar neticesinde şehir hastanesinin dört bir tarafından yollar yapılması planlanmakta. Onun dışında maçla alakalı olan süreçte de maç saatleri hastanelerinin aktif olmadığı saatleri tekabül ediyor. Özellikle o anlamda hastanemiz adına yoğun olmayan bir trafiğimiz söz konusu olacak. Aynı zamanda hem tünelden hem Doğu ve Batı’da olan iki kavşaktan dolayı da şehir hastanesine gelebilecek olan acil hastaların gelebilmesini engelleyecek bir durum söz konusu olmayacak” ifadelerini kullandı."
