,Baslik,Ozet,Kategori,Link,Icerik
0,"Bilim insanları, eylüle kadar yeni bir yıldız patlamasının gözlemlenmesini bekliyor","Bilim insanları, Dünya'nın, eylüle kadar ""Nova"" adı verilen bir yıldız patlamasına tanıklık edeceğini ve bu olayın gökyüzünde ""yeni bir yıldız doğmuş"" gibi görüleceğini öngörüyor.",Dünya Dışı,https://www.trthaber.com/haber/dunya-disi/bilim-insanlari-eylule-kadar-yeni-bir-yildiz-patlamasinin-gozlemlenmesini-bekliyor-845501.html,"CNN'in haberine göre, kısa süreli ""beyaz cüce"" yıldızı patlaması, Samanyolu Galaksisi'nin Çoban (Boötes) ve Herkül takımyıldızları arasında yer alan, Kuzeytacı Takımyıldızı (T Corona Borealis) civarında meydana gelecek. Astronomlar, patlamanın meydana geleceği ""Alevli Yıldız"" olarak da bilinen T Coronae Borealis ikili sisteminde, bir ölü ""beyaz cüce"" ve bir ""kırmızı dev"" yıldız bulunduğunu, takımyıldızda yaklaşık 79 yılda bir patlama meydana geldiğini açıkladı. Söz konusu patlama öncesinde, beyaz cüce, yakın konuma geldiğinde etkileşime geçerek kırmızı devi kararsız hale getiriyor ve kırmızı dev de dış katmanlarını püskürtmeye başlıyor. Böylece beyaz cüceye ulaşan maddeler, yıldızın atmosferini ısıtarak ""kontrolsüz termonükleer patlamaya"" yani ""Nova""ya yol açıyor. Patlama Kutup Yıldızı kadar parlak olacak Araştırmacılar, en son patlamanın 1946'da meydana geldiği sistemde, yeni bir patlamanın yakın olması dolayısıyla gözlemlerini yoğunlaştırdı. Buna göre, Dünya'ya 3 bin ışık yılı uzakta ve sönük olması nedeniyle çıplak gözle görülemeyen yıldız sistemi, patlamanın meydana gelmesi halinde Kutup Yıldızı (Demir Kazık, Kuzey Yıldızı) kadar parlayacak ve Kuzey Yarımküre'den yaklaşık 1 hafta boyunca gözlemlenebilecek. Nova, en yüksek ışık seviyesine geldiğinde gökyüzünde ""yeni bir yıldız doğmuş"" gibi görünecek, birkaç gün hiçbir gözlem aracına ihtiyaç olmaksızın çıplak gözle görüldükten sonra da bir hafta kadar dürbünle gözlemlenebilecek ardından yaklaşık 79 yıl sürecek sönük safhaya geçecek. ""Nova'nın önümüzdeki aylarda gerçekleşeceğini söyleyebiliriz"" T Coronae Borealis'in Samanyolu Galaksisi'nde tekrar eden 10 nova patlamasından biri olduğunu kaydeden ABD Havacılık ve Uzay Ajansı (NASA) Göktaşı Ortamları Ofisi (Meteoroid Environment Office-MEO) Direktörü William J. Cooke, patlamayla ilgili şu ifadeleri kullandı: ""1946'daki son patlamadan, yıldızın patlama öncesinde bir yıldan biraz daha uzun bir süre ışığının azalacağını biliyoruz. T Coronae Borealis, Mart 2023'te sönmeye başladı, bu nedenle bazı araştırmacılar bugünden itibaren eylüle kadar 'Nova'yı bekliyor. Ancak şu anda bildiklerimize göre, bunun ancak önümüzdeki aylarda gerçekleşeceğini söyleyebiliriz."" Cooke, T Coronae Borealis gibi tekrarlayan novaları incelemenin bu tür sistemlerdeki yıldızlar arasındaki kütle aktarımını anlamaya ve beyaz cücenin yüzeyinde meydana gelen kontrolsüz termonükleer patlamaya dair bilgi edinmeye yardım ettiğini belirtti. NASA, patlamaya dair güncel bilgiler yayınlayacak Astronomlar, söz konusu gök olayını Hubble Uzay Teleskobu ile takip edecek ve Neil Gehrels Swift Gözlemevi vasıtasıyla X-ışını ile ultraviyole ışık üzerinden araştırmalar yapacak. NASA'nın, X'teki NASA Universe hesabı, patlama hakkında güncel bilgiler de sağlayacak."
1,Neptün ve Uranüs etrafında yeni uydular tespit edildi,"Gök bilimciler, Neptün ve Uranüs etrafında daha önce bilinmeyen uydular tespit etti.",Dünya Dışı,https://www.trthaber.com/haber/dunya-disi/neptun-ve-uranus-etrafinda-yeni-uydular-tespit-edildi-839757.html,"Güneş sisteminde daha önce bilinmeyen uydular, Hawaii ve Şili'deki teleskoplar tarafından keşfedildi. Buna göre, gök bilimciler, Neptün'ün etrafında dönen 2 uydunun yanı sıra Uranüs'ün etrafında da bir küçük uydu daha olduğunu ortaya çıkardı. Uluslararası Astronomi Birliği, yeni keşiflerle Neptün'ün uydu sayısının 16'ya, Uranüs'ün ise 28'e yükseldiğini açıkladı. ""Küçük uydu Neptün'ün etrafında bir turu yaklaşık 27 yılda tamamlıyor"" Washington'daki Carnegie Bilim Enstitüsünden gök bilimci Scott Sheppard, küçük uydunun Güneş'ten en uzak buzlu gezegen olan Neptün'ün etrafında bir turu yaklaşık 27 yılda tamamladığını söyledi. Sheppard, henüz keşfedilmemiş çok sayıda küçük uydular olabileceğini de ifade etti. Tahmini çapı 8 kilometre olduğu belirtilen Uranüs'ün yörüngesindeki yeni uydunun ise muhtemelen gezegenin uyduları arasında en küçüğü olabileceği kaydediliyor."
2,Şimdiye kadar kaydedilen en güçlü kara delik patlamalarından biri tespit edildi,"Gökbilimciler, Dünya'dan 3,8 milyar ışık yılı uzakta bulunan ve SDSS J1531 olarak bilinen galaksi kümesinde şu ana kadar kaydedilen en güçlü kara delik patlamalarından birini tespit etti.",Dünya Dışı,https://www.trthaber.com/haber/dunya-disi/simdiye-kadar-kaydedilen-en-guclu-kara-delik-patlamalarindan-biri-tespit-edildi-839467.html,"ABD Ulusal Havacılık ve Uzay Ajansından (NASA) yapılan yazılı açıklamaya göre, gökbilimciler, gözlemlerinde Chandra X-ışını Gözlemevi ve Düşük Frekans Dizisi (LOFAR) dahil çeşitli teleskoplar kullandı. Gökbilimciler, milyarlarca yıl önce Dünya'ya 3,8 milyar ışık yılı mesafedeki yüzlerce galaksiyi içeren devasa bir galaksi kümesi olan SDSS J1531'de şimdiye kadar kaydedilen en büyük kara delik patlamalarından birini gözlemledi. Patlamanın galaksi kümesindeki galaksilerden birinin merkezindeki süper kütleli kara delikten kaynaklandığını değerlendiren gökbilimciler, patlama sonucu devasa bir boşluğun oluştuğunu tespit etti. Çalışmayı yöneten Harvard-Smithsonian Astrofizik Merkezinden Osase Omoruyi, ""Bu büyük patlamaya ilişkin kanıtlarımızın güçlü olduğunu düşünüyoruz, ancak Chandra ve LOFAR ile yapılacak daha fazla gözlem durumu kesinleştirecektir."" ifadesini kullandı. Omoruyi, halihazırda tespit ettikleri boşluğun kökenine ilişkin daha fazla bilgi edinmeyi ve kara deliğin diğer tarafında da oluştuğu tahmin edilen boşluğu bulmayı umduklarını kaydetti. Araştırma bulguları, ""The Astrophysical Journal"" dergisinde yayınlandı."
3,Japonya dünyanın ilk ahşap uydusunu fırlatacak,Japon bilim insanları ahşaptan yaptıkları uyduyla tarihin en sıradışı uzay araçlarından birini geliştirdi. Manolya ağacından yapılan uzay aracının çevreci bir alternatif sunması umuluyor. Ahşap uydu Dünya'ya geri dönüş yolculuğunda tamamen yanarak kül olacak.,Dünya Dışı,https://www.trthaber.com/haber/dunya-disi/japonya-dunyanin-ilk-ahsap-uydusunu-firlatacak-838364.html,"LignoSat adı verilen uydunun manolya ağacından yapıldığı belirtildi. Uluslararası Uzay İstasyonu'ndan yapılan deneylerde manolya ağacının çatlamalara karşı daha dayanıklı olduğu tespit edilmişti. Japon bilim insanlarının geliştirdiği ahşap uyduyla ilgili hazırlıklar tamamlanırken, uzay aracının bu yaz fırlatılması bekleniyor. Kyoto Üniversitesi ve Sumitomo Ormancılık isimli tomruk şirketi tarafından geliştirilen ahşap uydu, şu anda hizmet veren uydulara çevreci bir alternatif yaratılması fikriyle geliştirildi.   Japon astronot ve uzay mühendisi Takao Doi, ""Dünya atmosferine geri dönen tüm uydular yanıyor ve yıllar boyunca atmosferin üst katmanlarına yayılan küçük alüminyum parçacıkları saçıyor. Eninden sonunda bu durum çevreyi etkileyecek"" diye konuştu. Bilim insanları ilk olarak uzay koşullarının oluşturulduğu bir labarotuvarda testler yaptı. Bu testlerde kullanılan ahşap örneklerinde hiçbir bozulma veya değişim görülmedi. Projeye liderlik eden Koji Murata, ""Ahşapın bu koşullara dayanıklı olması bizi şaşkınlığa uğrattı"" ifadelerini kullandı. Labarotuvar testlerinin ardından ahşap örnekleri Uluslararası Uzay İstasyonu'na gönderildi ve yaklaşık bir yıl boyunca burada da test edildi. Uzayda yapılan testlerde de ahşap örneklerin çok küçük hasarlar aldığı tespit edildi. Murata bu durumu, uzayda ahşabın yanmasına neden olacak oksijen ve çüremesine neden olacak canlı organizma bulunmamasıyla açıkladıklarını söyledi. Uydunun yapımı için sakura ağacının da içinde bulunduğu birkaç ağaç örneğinin denendiği ancak manolya ağacında karar kılındığı belirtildi. Maruta, bir kahve kupası büyüklüğünde olan uydunun ahşap uzay araçlarının performansına ilişkin önemli veriler sunacağını ifade ederken, ""Uydunun görevlerinden biri ahşap yapıda ne kadar bozulma oluşacağını tespit etmek olacak. Ahşap, tek bir yönde hareket ettiği zaman dayanıklı ve sağlam ama yön değişikliği durumunda çatlamalara meyilli olabilir"" diye konuştu. Uydunun uzayda 6 ayda kalacağı ifade edildi. Daha önce uydunun 2023'te fırlatılması planlanmıştı ancak çalışmaların tamamlanmaması nedeniyle fırlatma ertelenmişti. Daha önce Finlandiya merkezli start-up Arctic Astronautics de WISA Woodsat isimli ahşap bir uydu geliştirerek, 2021'de fırlatmayı planlamıştı. Ancak şirket, ""bürokratik engeller nedeniyle"" uyduyu henüz fırlatabilmiş değil."
4,Uzayda bir ilk daha: İki asteroitin yüzeyinde su tespit edildi,"SOFIA kızılötesi teleskopundan elde edilen verileri kullanan yeni bir araştırmada, Iris ve Massalia isimli asteroitlerin yüzeyinde su keşfedildi.",Dünya Dışı,https://www.trthaber.com/haber/dunya-disi/uzayda-bir-ilk-daha-iki-asteroitin-yuzeyinde-su-tespit-edildi-836975.html,"Güneş Sistemimiz gezegenlerden ve aylardan kuyruklu yıldızlara ve asteroitlere kadar farklı nesnelerin bir koleksiyonu. Güneş'in etrafında dönen 1 milyondan fazla asteroit olduğu ve üzerlerinde bulunan suyun uzun zaman önce buharlaşmış olması gerektiği düşünülüyordu. Ancak SOFIA kızılötesi teleskopundan elde edilen verileri kullanan yeni bir araştırmada, Iris ve Massalia isimli asteroitlerin yüzeyinde su keşfedildi. Milyonlarca asteroit arasında Iris'in çapı 199 kilometre olup diğer asteroitlerin yaklaşık yüzde 99'undan daha büyük. Mars ve Jüpiter arasındaki asteroit kuşağında, Güneş'in etrafında ortalama 2,39 astronomik birim uzaklıkta döner ve bir yörüngeyi tamamlaması 3,7 yılı alır. Massalia ise 135 km çapında ve Iris'inkine benzer bir yörüngeyi paylaşıyor. Güneş Sistemindeki asteroitler bileşim ve yapı bakımından biraz farklılık gösteriyor. Güneş'e daha yakın bölgelerde buz içermeyen silikat asteroitler hakim, ancak daha uzakta buzlu asteroitler daha yaygın. SOFIA Ekim 2020'de de Ay'da su tespit etmişti. Makalenin baş yazarı, Güneybatı Araştırma Enstitüsü'nden Dr. Anicia Arredondo, spektral çizgilerin gücüne dayanarak, asteroitler üzerindeki suyun hacmi ve yaygınlığının Ay'da bulunanlarla tutarlı olduğunu doğruladı. Burada da hem minerallere bağlıydı hem de silikatlar tarafından absorbe ediliyordu. Suyun Güneş Sistemindeki dağılımını tam olarak anlamak için daha fazla analiz yapılması gerekiyor ancak çalışmanın ardından ekip, daha fazlasını öğrenmek için artık daha kaliteli optiklere ve çok daha iyi bir sinyal/gürültü oranına sahip olan James Webb Uzay Teleskobu'nu kullanacak."
5,Bennu asteroidinin ilk sonuçları açıklandı: Eski bir okyanus dünyasından geldi,"Bennu asteroidinden getirilen parçaların analizine başlayan NASA bilim insanları, asteroidin içerdiği malzemenin eski bir okyanus dünyasından geldiğini gösterdiğini duyurdu.",Dünya Dışı,https://www.trthaber.com/haber/dunya-disi/bennu-asteroidinin-ilk-sonuclari-aciklandi-eski-bir-okyanus-dunyasindan-geldi-836366.html,"Bu varsayım asteroitte tespit edilen fosfat kabuğuna dayanıyor. Kalsiyum ve magnezyum açısından zengin fosfat minerali, atmosferimizden Dünya'ya inen küçük uzay kayaları olan meteorlarda daha önce hiç görülmemişti. Mineralin kimyası, Satürn'ün uydusu Enceladus'un buzlu kabuğunun altından çıkan taşlarla benzerlik taşıyor.   Fosfat aynı zamanda yaşamın çok önemli bir yapı taşı. Bilim adamları, Bennu'nun bir zamanlar parçası olduğu dünyanın muhtemelen Enceladus'la benzerlikler taşıdığını ancak yaklaşık yarısı büyüklüğünde olduğunu söylüyor. Bir asteroit örneğini inceleme fırsatı çok nadir olduğundan, bunlar bilim adamları için son derece heyecan verici araştırmalar. OSIRIS -REx misyonu, tarihte bir asteroitten parçalar alıp Dünya'ya geri göndermeyi başardığımız üçüncü sefer. Bennu örneğinde gidiş-dönüş toplamda yedi yıl sürdü ve 6,21 milyar kilometrelik (3,86 milyar mil) önemli bir mesafe kat etti. Numune kapsülü Eylül 2023'te güvenli bir şekilde geri ulaştı ."
6,"Satürn'ün uydusu Mimas, geniş bir yer altı okyanusuna sahip olabilir","Araştırmacılar, Satürn'ün uydusu Mimas'ın buzla kaplı dış yüzeyinin altında geniş bir okyanusun olabileceğini ortaya koydu.",Dünya Dışı,https://www.trthaber.com/haber/dunya-disi/saturnun-uydusu-mimas-genis-bir-yer-alti-okyanusuna-sahip-olabilir-835365.html,"Fransa, Çin ve İngiltere'den araştırmacılar, 2017'de Satürn'ün atmosferinde yanmadan önce gezegeni ve uydularını 10 yıldan fazla bir süre inceleyen ABD Havacılık ve Uzay Ajansının (NASA) ""Cassini–Huygens"" uzay aracına ait gözlemleri ele aldı. Satürn'ün uydusu Mimas'ın yörüngesinde ve dönüşündeki değişiklikleri de analiz eden araştırmacılar, Mimas'ın donmuş yüzeyinin 20 ila 30 kilometre altında geniş ve genç bir okyanus olabileceğini kaydetti. Araştırma yazarlarından Valery Lainey, en önemli bulgunun, sıvı halde suya sahip olmasını asla beklemedikleri Mimas'ta okyanus bulunma ihtimali olduğunu belirtti. Lainey, ""Mimas, potansiyel olarak yaşanabilir bir yer gibi görünüyor. Ancak, yaşamın ortaya çıkması için ne kadar zamana ihtiyaç olduğunu bilemiyoruz."" ifadelerini kullandı. Araştırmanın detayları, ""Nature"" adlı dergide yayımlandı."
7,"Gezeravcı'nın da bulunduğu Ax-3 ekibi, 9 Şubat'ta Daytona Beach'e inecek","Türkiye'nin ilk astronotu Alper Gezeravcı'nın da içinde bulunduğu Axiom-3 (Ax-3) ekibini taşıyan Dragon kapsülünün, 9 Şubat'ta ABD yerel saatiyle 08.30'dan sonra (TSİ 16.30) Florida'da Daytona Beach bölgesinde okyanusa iniş yapması bekleniyor.",Dünya Dışı,https://www.trthaber.com/haber/dunya-disi/gezeravcinin-da-bulundugu-ax-3-ekibi-9-subatta-daytona-beache-inecek-835301.html,"Axiom Space'in X sosyal medya hesabından yapılan paylaşıma göre, Ax-3 ekibinin, Florida kıyısına iniş yapana dek yaklaşık 48 saatlik bir yolculuk yapması öngörülüyor. Daytona Beach bölgesinde okyanusa 9 Şubat'ta TSİ 16.30'da iniş yapması beklenen Dragon kapsülü için Axiom Space canlı yayını da yerel saatle 07.25'te (TSİ 15.25) başlayacak.  "
8,Gezeravcı Dünya'ya dönüyor,"Türkiye'nin ilk astronotu Alper Gezeravcı'nın da içinde yer aldığı Axiom-3 ekibi, Dragon kapsülüyle Uluslararası Uzay İstasyonu'ndan ayrıldı.",Dünya Dışı,https://www.trthaber.com/haber/dunya-disi/gezeravci-dunyaya-donuyor-835243.html,"Yolculuk süresince mürettebatı taşıyan Dragon kapsülünün birden fazla yörünge alçaltma manevrası gerçekleştirmesi ve yaklaşık 48 saat sonra Florida kıyısı açıklarında Dünya'ya ulaşması öngörülüyor. ""Onur ve mutluluk duyuyorum"" Alper Gezeravcı, Uluslararası Uzay İstasyonu'ndan ayrılmadan önce yaptığı son konuşmada şunları söyledi: ""Gurur duyduğumuz tarihimizin devamı niteliğinde adım attığımız yeni Türkiye yüzyılında icra ettiğimiz Türkiye'nin insanlı ilk uzay görevini gerçekleştirmiş olmaktan büyük onur ve mutluluk duyuyorum. Bu görevin, geleceğimizin teminatı sevgili gençlerimiz için ilham verici bir başlangıç olmasını diliyorum. Bu bir hikayenin başlangıç noktasıydı, bir yere varış noktası değil. Bundan sonraki yolumuz Türk milletimize hayırlı uğurlu olsun.""   13 bilimsel deney yaptı Gezeravcı'nın da içinde bulunduğu Ax-3 mürettebatını Space X firmasına ait Crew Dragon uzay aracıyla ISS'e taşıyan SpaceX Falcon 9 roketi, 19 Ocak TSİ ile 00.49'da NASA'nın Florida'da bulunan Kennedy Uzay Merkezi'ndeki fırlatma kompleksi 39A'dan fırlatılmıştı. Gezeravcı, Michael Lopez-Alegria, Walter Villadei ve Marcus Wandt'tan oluşan 4 kişilik mürettebat, ISS'ye 20 Ocak'ta ulaştı. Gezeravcı, 7 astronotun bulunduğu ISS'te 13 bilimsel deney gerçekleştirdi.   Dönüş için planlanan ilk tarih 3 Şubat olarak belirlenirken, hava koşullarının elverişli olmamasından dolayı ekibin ISS'ten ayrılması 3 kez ertelenmişti. Dragon kapsülünün ISS'den ayrılış için Axiom Space canlı yayın yapmaya başladı. Yayın, Anadolu Ajansı (AA), Sanayi ve Teknoloji Bakanlığı ile Türkiye Uzay Ajansının (TUA) sosyal medya hesaplarından simultane çeviri eşliğinde canlı izlenebilecek. Grafik: Hafize Ateş"
9,"NASA, Jüpiter'in uydusu Io'daki volkanik patlamaları görüntüledi","NASA'nın Juno uzay aracı, Güneş Sistemimizin volkanik açıdan en aktif gezegeni Jüpiter'in uydusu Io'nun ayrıntılı görüntülerini çekti. Bu yakın geçiş sırasında uzay aracı, Io'nun yüzeyinde gerçek zamanlı olarak patlayan volkanik aktivite bulutlarını tespit etti.",Dünya Dışı,https://www.trthaber.com/haber/dunya-disi/nasa-jupiterin-uydusu-iodaki-volkanik-patlamalari-goruntuledi-835100.html,"Bu karşılaşma, Io'nun yüzeyinin altında gerçekleşen volkanik olaylara yeni bir bakış açısı kazandırmak için tasarlanan iki yakın uçuştan ikincisiydi. Bunlar, insanlığın son 22 yılda Io ile en yakın karşılaşmasıydı ve bilim insanları Io'yu 2 bin 462 kilometre mesafeden inceliyorlar.    NASA'nın Juno misyonu Baş Araştırmacısı Scott Bolton, bir uçta Jüpiter'in onu gezegene doğru çeken devasa kütlesinin, diğer uçta ise iki komşu uydunun, Europa ve Ganymede'nin bulunduğunu söyledi. Sonuç olarak, bu yerçekimsel çekişme, bir o yana bir bu yana çekilerek tüm dünyada sürtünmeye neden oluyor. Sürtünme Io'yu ısıtıyor, bu da volkanik aktiviteye neden oluyor. Io'nun yüzeyinde yaklaşık 400 aktif yanardağ bulunuyor."
