,Baslik,Ozet,Kategori,Link,Icerik
0,"Bakan Yumaklı: 45 projeye 210,6 milyon lira hibe sağlanacak","IPARD II kapsamında hayvancılık ve gıda işleme sektörlerine yönelik, değerlendirme süreci tamamlanan 45 projeye 210,6 milyon lira hibe sağlanacak.",Ekonomi,https://www.trthaber.com/haber/ekonomi/bakan-yumakli-45-projeye-2106-milyon-lira-hibe-saglanacak-848374.html,"Tarım ve Orman Bakanı İbrahim Yumaklı, sosyal medya hesabından yaptığı paylaşımda, üretimi ve üreticileri desteklemeyi sürdürdüklerini aktardı. Bakan Yumaklı açıklamasında şu ifadeleri kullandı: ""IPARD II kapsamında hayvancılık ve gıda işleme sektörlerine yönelik, değerlendirme süreci tamamlanan projelere 210,6 milyon lira hibe desteği sağlanacak. Böylelikle IPARD II programı 13. başvuru çağrısı kapsamında desteklenen proje sayısı 379'a, hibe tutarı ise 1,2 milyar liraya ulaşmış oldu."" Bakan Yumaklı, söz konusu projelerin yatırım süreci tamamlandığında, yaklaşık 380,7 milyon lira tutarında yatırımın ülke ekonomisine kazandırılmış olacağını ifade etti."
1,Emeklilerin bayram ikramiyeleri ödenmeye başladı,"Emeklilerin 3 bin liraya çıkartılan bayram ikramiyesi bugün ödenmeye başladı. Ödemeler 5 Nisan'a kadar yapılacak. Yaklaşık 16 milyon emeklinin ikramiyeleri, aylıklarını aldıkları hesaplara yatırılacak.",Ekonomi,https://www.trthaber.com/haber/ekonomi/emeklilerin-bayram-ikramiyeleri-odenmeye-basladi-848317.html,"Emeklilerin bayram ikramiyesi ödemeleri bugün başladı. Yapılan yüzde 50 artış ile birlikte emeklilere 3 bin lira bayram ikramiyesi ödenecek. Böylece yaklaşık 16 milyon emekli zamlı ikramiyelerini alacak. Bayram ikramiyeleri ödeme tarihleri Ödemeler maaş alma takvimine göre belirlendi. Sosyal Güvenlik Uzmanı İsa Karakaş, ""Maaşını ayın 17’si ve 18’inde alan SSK'lılar 2 Nisan'da, maaşını 19, 20, 21, 22'sinde alanlar ise 3 Nisan'da, maaşlarını 23, 24, 25 ve 26 Nisan’da alan SSK'lılar 4 Nisan günü itibarıyla ikramiyelerini alacaklar"" dedi. Bağ-Kur kapsamında aylık alanların tümüne ikramiye ödemeleri 5 Nisan'da yapılacak. Emekli Sandığı kapsamında ayın 1'i ve 2'sinde aylık alanların hesabına bayram ikramiyeleri 2 Nisan'da yatacak. Ayın 3, 4 ve 5'inde aylık alanların ikramiyeleri 3 ve 5 Nisan'da hesaplarda olacak Bu yıl 260 milyar lira ödeme yapılması bekleniyor Sosyal Güvenlik Uzmanı İsa Karakaş, ""2023 Kurban Bayramı'nda 14 milyon 611 bin emekli toplamda 26 milyar 158 milyona yakın ikramiye aldı. Bu sene EYT'lilerin de emekli olmasıyla birlikte sayısı 16 milyonu geçen emeklileri göz önünde bulundurduğumuz zaman ve yine ikramiye de yüzde 50 oranında arttığı zaman bu rakamın çok çok üzerinde bir ödeme olacağını şimdiden söyleyebiliriz"" dedi. Şimdiye kadar emeklilere 165 milyar lira bayram ikramiyesi ödemesi yapıldı. Bu yılki ödemelerle birlikte bu tutarın yaklaşık 260 milyar liraya çıkması bekleniyor."
2,Küresel piyasalar karışık seyrediyor,"Küresel piyasalar, ABD Merkez Bankası'nın gelecek dönem atacağı adımlara ilişkin belirsizliğin artmasıyla karışık bir seyir izliyor.",Ekonomi,https://www.trthaber.com/haber/ekonomi/kuresel-piyasalar-karisik-seyrediyor-848316.html,"Dünya genelinde önemli merkez bankaları yavaş yavaş faiz indirimlerine hazırlanırken, Fed'in faiz indirimlerine diğer ülkelerden sonraya kalabileceği ihtimalinin artması varlık fiyatlarını etkilemeye devam ediyor.  Dün ABD'de açıklanan verilere göre, imalat sanayide 16 aylık daralmanın ardından ilk kez genişleme kaydedilirken, Tedarik Yönetim Enstitüsünün (ISM) imalat sanayi Satınalma Yöneticileri Endeksi (PMI), martta 50,3 değeriyle piyasa beklentilerinin üzerinde gerçekleşti. Söz konusu veriyle birlikte dolar endeksi 14 Kasım 2023'ten bu yana ilk kez 105 seviyesinin üzerinde kapanış gerçekleştirirken, tahvil piyasalarında da satış baskısının arttığı görüldü. ABD'nin 10 yıllık tahvil faizi dün yaklaşık 11 baz puanlık artışla günü yüzde 4,32'den tamamlarken, şu sıralarda yüzde 4,31'de bulunuyor. Analistler, söz konusu gelişmelerin görece riskli varlıklara olan risk iştahını törpülediğini kaydederek, Fed Başkanı Jerome Powell'ın yarın yapacağı açıklamalardaki tonun piyasaların yönü üzerinde etkili olabileceğini ifade etti. Para piyasalarındaki fiyatlamalar açıklanan makroekonomik verilerle dalgalanmaya devam ederken, Fed'in ilk faiz indirimine haziranda gitme ihtimali yüzde 58'e geriledi. Yükseliş eğilimini üst üste altıncı işlem gününe taşıyan altının ons fiyatı, bugün önceki kapanışının yüzde 0,2 üzerinde 2 bin 257 dolardan alıcı buluyor. Altının ons fiyatı, dün 2 bin 266 dolara çıkarak tüm zamanların en yüksek seviyesini test etmişti. Artan jeopolitik riskler ve Meksika'dan gelen arz daralmasıyla petrol fiyatlarındaki yükseliş de devam ederken, Brent petrolün varil fiyatı yükseliş eğilimini üst üste 4. işlem gününe taşıyarak, yüzde 0,1 artışla 87,6 dolardan işlem görüyor. Diğer taraftan, eski ABD Başkanı Donald Trump'ın geçen hafta Nasdaq borsasında işlem görmeye başlayan sosyal medya şirketi, geçen yıl 58 milyon dolar zarar ettiğini bildirdi. Trump Media & Technology Group'un hisseleri dün yüzde 21'den fazla değer kaybetti. New York Borsası Dün New York borsasında Nasdaq endeksi yüzde 0,11 değer kazanırken, S&P 500 endeksi yüzde 0,20 ve Dow Jones endeksi de yüzde 0,60 azalış kaydetti. ABD'de endeks vadeli kontratlar, yeni güne de karışık bir seyirle başladı. Avrupa borsaları, Paskalya tatilinin ardından bugün işleme açılması beklenirken, gözler bölge genelinde açıklanacak imalat sanayi PMI verilerine çevrildi. Bugün Almanya'da öncü Tüketici Fİyat Endeksi (TÜFE) verilerinin de yatırımcıların odağına yerleştiğini belirten analistler, ülkede enflasyonun martta aylık yüzde 0,5 ve yıllık yüzde 2,2 olmasının beklendiğini bildirdi. Avrupa'da endeks vadeli kontratlar, yeni güne karışık bir seyirle başladı. Asya Asya pay piyasalarında ise Çin hariç pozitif bir seyir öne çıkarken, Japonya Maliye Bakanı Shunichi Suzuki, Japonya Merkez Bankasının (BoJ), genişleyici para politikasına ""muhtemelen"" devam edeceğini dile getirdi. Suzuki BoJ'un kurdaki aşırı oynaklığa karşı harekete geçmeye hazır olduğunu da belirtti. Artan uzun vadeli faiz oranlarının borç finansman maliyetini artırabileceği ifade eden Suzuki bunun, ""Japonya'nın mali durumu üzerinde baskı oluşturabileceği riskine karşı dikkatli olunmalı."" dedi. Öte yandan, Çinli akıllı telefon üreticisi Xiaomi'nin hisse fiyatı, şirketin geçtiğimiz hafta ilk elektrikli otomobili SU7'yi piyasaya sürmesinin ardından ilk işlem gününde yüzde 16'nın üzerinde değer kazandı. Kapanışa yakın Japonya'da Nikkei 225 endeksi yüzde 0,1, Güney Kore'de Kospi endeksi yüzde 0,1 ve Hong Kong'da Hang Seng endeksi yüzde 2,3 değer kazanırken, Çin'de Şanghay bileşik endeksi yüzde 0,3 geriledi. Yurt içi piyasalar Yurt içinde dün dalgalı bir seyir izleyen Borsa İstanbul'da BIST 100 endeksi, günü yüzde 0,17 değer kazancıyla 9.157,54 puandan tamamladı. Dolar/TL, dün satıcılı bir seyir izleyerek günü önceki kapanışının yüzde 0,4 altında 32,2565'ten tamamlamasının ardından bugün bankalararası piyasanın açılışında 32,2640 seviyesinden işlem görüyor. Analistler, bugün yurt içinde veri gündeminin sakin olduğunu yurt dışında ise Avrupa genelinde imalat sanayi PMI, Almanya'da öncü enflasyonun yanı sıra ABD'de JOLTS açık iş sayısı, fabrika siparişleri ve dayanıklı mal siparişleri verilerinin takip edileceğini belirterek, teknik açıdan BIST 100 endeksinde 9.200 ve 9.300 seviyelerinin direnç, 9.100 ve 9.000 puanın destek konumunda olduğunu kaydetti."
3,Ticaret Bakanlığı ekipleri bayram hazırlıklarını tamamladı,"Ticaret Bakanlığı, Ramazan Bayramı alışverişi nedeni ile karşılaşılabilecek olumsuzluklara karşı önlem aldı.",Ekonomi,https://www.trthaber.com/haber/ekonomi/ticaret-bakanligi-ekipleri-bayram-hazirliklarini-tamamladi-848310.html,"Ticaret Bakanlığı, vatandaşların mağdur olmaması ve hak ve menfaatlerinin korunması amacıyla ramazan ayı boyunca sürdürülen yoğun denetim faaliyetlerini ramazan ayının son günlerinde ve Ramazan Bayramı süresince artırarak etkin bir şekilde sürdüreceği vurgulandı. Bakanlıktan yapılan yazılı açıklamada şu ifadeler kullanıldı: ""Özellikle alışveriş merkezleri, gıda ve bayramlık ürün satan perakende işletmeler ve tüm marketler yakın takibimiz altında olmaya devam edecektir. Bu çerçevede, vatandaşlarımıza şahit oldukları fahiş fiyat artışlarını Bakanlığımızın çağrı merkezine ve Bakanlığımızın web sayfasına bildirebileceklerini bir kez daha belirtmek isteriz. Diğer yandan da işletmelerimizin, mevzuatımıza uyum sağlama ve vatandaşlarımızı mağdur etmeme noktasında gerekli hassasiyeti göstermeleri gerektiğini, aksi halde, vatandaşlarımızı mağdur eden her türlü girişime karşı, bundan önce olduğu gibi bundan sonra da, Bakanlığımızca gerekli yaptırımların uygulanacağını ifade etmek isteriz. """
4,Borsa günü yükselişle tamamladı,"Borsa İstanbul'da BIST 100 endeksi, günü yüzde 0,17 değer kazanarak 9.157,54 puandan tamamladı.",Ekonomi,https://www.trthaber.com/haber/ekonomi/borsa-gunu-yukselisle-tamamladi-848239.html,"BIST 100 endeksi, önceki kapanışa göre 15,14 puan artarken, toplam işlem hacmi 107,7 milyar lira oldu. Bankacılık endeksi yüzde 2,08, holding endeksi yüzde 1,41 değer kazandı. Sektör endeksleri arasında en çok kazandıran yüzde 2,36 ile spor, en çok kaybettiren yüzde 5,39 ile madencilik oldu. Öte yandan dolar/TL bugün yüzde 1,9 azalışla 31,7540'a gerileyerek 21 Mart'tan bu yana en düşük seviyeyi gördü. Küresel piyasalarda tatil havası devam ederken, bu hafta gözler, başta ABD'de açıklanacak istihdam raporu olmak üzere yoğun veri gündemine çevrildi. Analistler, yarın yurt içinde veri gündeminin sakin olacağını, yurt dışında ise ABD'de fabrika siparişleri, dayanıklı mal siparişleri, JOLTS açık iş sayısı, Almanya'da ve Avro Bölgesinde imalat sanayi Satınalma Yöneticileri Endeksi (PMI), Almanya'da enflasyonun öne çıkacağını söyledi. Teknik açıdan endeks kontratında 9.200 seviyesinin direnç olarak öne çıktığını ifade eden analistler, 8.900 ve 8.750 puanın destek konumunda olduğunu kaydetti."
5,Bakan Bolat: Sürdürülebilir büyüme için durmaksızın çalışmaya devam edeceğiz,"Ticaret Bakanı Ömer Bolat, seçimlerin ardından yatırım, üretim, istihdam ve ihracat odaklı sürdürülebilir büyüme için durmaksızın çalışmaya devam edeceklerini söyledi.",Ekonomi,https://www.trthaber.com/haber/ekonomi/bakan-bolat-surdurulebilir-buyume-icin-durmaksizin-calismaya-devam-edecegiz-848230.html,"Ticaret Bakanı Bolat, sosyal medya hesabından yaptığı paylaşımda, 31 Mart Mahalli İdareler Genel Seçimleri'ne ilişkin değerlendirmede bulundu. Seçim sonuçlarının ülkeye, millete ve kazanan adaylara hayırlı olmasını temenni eden Bolat, seçimlerin sağduyulu ve sakin bir ortamda yapılmış olmasının, halkın demokratik olgunluğunu gösterdiğini belirtti. ""Birlikte çalışacağız"" Bolat, seçimlerin ardından atılacak adımlara işaret ederek, şunları kaydetti: ""Seçimi geride bırakmış olarak, önümüzdeki dönemde halkımızın refahını arttırmak ve ülkemiz ekonomisini daha fazla güçlendirmek hedeflerimiz doğrultusunda, yatırım, üretim, istihdam ve ihracat odaklı sürdürülebilir büyüme için durmaksızın çalışmaya devam edeceğiz. Ülkemizin gelişmesi ve 'Türkiye Yüzyılı' hedefi yolunda, ekonomi ve iş dünyasının tüm aktörleriyle ve halkımızla birlikte çalışacağız."""
6,Sanayide yenilenebilir enerji projelerine destek,"Dünya Bankası, Türkiye'nin yenilenebilir enerji kapasitesinin artırılmasına yönelik 2 milyar dolarlık girişimi onayladı.",Ekonomi,https://www.trthaber.com/haber/ekonomi/sanayide-yenilenebilir-enerji-projelerine-destek-848221.html,"Kurumdan yapılan açıklamaya göre, Dünya Bankası İcra Direktörleri Kurulu, Avrupa ve Orta Asya bölgesindeki yükselen ve gelişmekte olan ekonomilerde yenilenebilir enerjinin yaygınlaştırılması yoluyla enerji güvenliğini artırmaya yönelik 2 milyar dolarlık öncü niteliğinde girişime onay verdi. Bu kapsamda 10 yıllık Avrupa ve Orta Asya Yenilenebilir Enerji Ölçeklendirme (ECARES) programı ile ilk aşamada 15 gigavat yenilenebilir enerji kapasitesinin eklenmesi ve 240 milyon metrik ton karbon emisyonunun azaltılması hedefleniyor. Programın, kaldıraç etkisiyle 6 milyar dolarlık özel sermaye finansmanını harekete geçirmesi bekleniyor. Dünya Bankası, Türkiye'nin 2035'e kadar güneş ve rüzgar enerjisi kapasitesini artırma hedefini destekleyici olarak, Türkiye Dağıtık Enerji İçin Piyasa Dönüşümünün Hızlandırılması Projesi'ne yönelik 657 milyon dolarlık finansman olanağı sağlayacak. Açıklamada görüşlerine yer verilen Dünya Bankasının Avrupa ve Orta Asya Bölgesinden sorumlu Başkan Yardımcısı Antonella Bassani, ""Avrupa ve Orta Asya ülkelerinin, bölgedeki enerji güvenliğine katkıda bulunacak yenilenebilir enerji kapasitelerini artırmalarını desteklemek için yeni bir yaklaşıma ihtiyaç duyulmaktadır. Dünya Bankası olarak, ülkelerin yenilenebilir enerjinin yaygınlaştırılması amacıyla özel sermayeyi çekmek için gerekli kolaylaştırıcı çerçeveyi ve başlangıç yatırımlarını geliştirmelerine yardımcı olmaya kararlıyız."" ifadelerini kullandı. Dünya Bankası Türkiye Ülke Direktörü Humberto Lopez de ""Türkiye son zamanlarda enerji dönüşümü ile ilgili olarak gelişmekte olan piyasa ekonomileri arasında görülen en iddialı programlardan birine imza attı. Dünya Bankası, 2035 yılına kadar yenilenebilir enerjiyi iki katına çıkarma yönündeki bu kararlılığı olumlu karşılamakta ve enerji güvenliğini sağlama, tüketiciler için enerji maliyetlerini düşürme ve iklim değişikliğiyle mücadele çabalarında ülkeye eşlik etmekten mutluluk duymaktadır."" değerlendirmesinde bulundu. Türkiye Dağıtık Enerji için Piyasa Dönüşümünün Hızlandırılması Projesi, yenilenebilir enerjiyi artırmak amacıyla son kullanıcılar için güneş enerjisi piyasasının genişletilmesi üzerinde odaklanacak ve dağıtık bataryalı elektrik depolama pilot uygulamasını destekleyecek."
7,Emeklilerin bayram ikramiye ödemeleri yarın başlıyor,"Emeklilerin 3 bin liraya çıkartılan bayram ikramiyesinin ödemeleri yarın başlıyor. Ödemeler 5 Nisan'a kadar yapılacak. Yaklaşık 16 milyon emeklinin ikramiyeleri, aylıklarını aldıkları hesaplara yatırılacak.",Ekonomi,https://www.trthaber.com/haber/ekonomi/emeklilerin-bayram-ikramiye-odemeleri-yarin-basliyor-848214.html,"Emeklilerin bayram ikramiyesi ödemeleri yarın başlıyor. Yapılan yüzde 50 artış ile birlikte emeklilere 3 bin lira bayram ikramiyesi ödenecek. Böylece yaklaşık 16 milyon emekli zamlı ikramiyelerini alacak. Bayram ikramiyeleri ödeme tarihleri Ödemeler maaş alma takvimine göre belirlendi. Sosyal Güvenlik Uzmanı İsa Karakaş, ""Maaşını ayın 17’si ve 18’inde alan SSK'lılar 2 Nisan'da, maaşını 19, 20, 21, 22'sinde alanlar ise 3 Nisan'da, maaşlarını 23, 24, 25 ve 26 Nisan’da alan SSK'lılar 4 Nisan günü itibarıyla ikramiyelerini alacaklar"" dedi. Bağ-Kur kapsamında aylık alanların tümüne ikramiye ödemeleri 5 Nisan'da yapılacak. Emekli Sandığı kapsamında ayın 1'i ve 2'sinde aylık alanların hesabına bayram ikramiyeleri 2 Nisan'da yatacak. Ayın 3, 4 ve 5'inde aylık alanların ikramiyeleri 3 ve 5 Nisan'da hesaplarda olacak Bu yıl 260 milyar lira ödeme yapılması bekleniyor Sosyal Güvenlik Uzmanı İsa Karakaş, ""2023 Kurban Bayramı'nda 14 milyon 611 bin emekli toplamda 26 milyar 158 milyona yakın ikramiye aldı. Bu sene EYT'lilerin de emekli olmasıyla birlikte sayısı 16 milyonu geçen emeklileri göz önünde bulundurduğumuz zaman ve yine ikramiye de  yüzde 50 oranında arttığı zaman bu rakamın çok çok üzerinde bir ödeme olacağını şimdiden söyleyebiliriz"" dedi. Şimdiye kadar emeklilere 165 milyar lira bayram ikramiyesi ödemesi yapıldı. Bu yılki ödemelerle birlikte bu tutarın yaklaşık 260 milyar liraya çıkması bekleniyor."
8,Cumhurbaşkanı Yardımcısı Yılmaz: Kalıcı refah artışı sağlayacağız,"Cumhurbaşkanı Yardımcısı Cevdet Yılmaz, ""Bu yılın ikinci yarısından itibaren enflasyonla mücadelemizin sonuçlarını belirgin bir şekilde görmeye başlayacağız. Böylece, yapılan ücret artışlarının zamanla erimesini önleyecek, kalıcı refah artışı sağlayacağız"" dedi.",Ekonomi,https://www.trthaber.com/haber/ekonomi/cumhurbaskani-yardimcisi-yilmaz-kalici-refah-artisi-saglayacagiz-848195.html,"Cumhurbaşkanı Yardımcısı Cevdet Yılmaz, yerel seçimlerin ardından ekonomiye ilişkin yazılı açıklama yaptı. ""Yatırım ve üretim ile bünyemizi güçlendiriyoruz"" Türkiye, Mahalli İdareler Seçimlerini demokrasisine yaraşır bir biçimde gerçekleştirmiştir. Vatandaşımızın iradesi ile oluşan sonuçların ülkemize, milletimize ve şehirlerimize hayırlı olmasını diliyorum. Demokrasi ve kalkınmada daha yüksek hedeflere ulaşma yolunda, hayati derecede öneme sahip dört yılı aşan seçimsiz bir döneme girmiş bulunuyoruz. Pandemi sonrası dünyadaki ekonomik daralmaya, bölgemizdeki savaşlara, tarihimizin en büyük afetinin getirdiği ilave yüklere rağmen, ülkemiz güçlü yapısını korumaktadır. Bu dönemde, depremin yaralarını saracak ve şehirlerimizi geleceğe çok daha dirençli bir şekilde hazırlayacağız. Ekonomide büyümeyi, istihdamı ve ihracatımızı artırıyor, cari açığımızı düşürüyoruz. Yatırım ve üretim ile bünyemizi güçlendiriyoruz. ""Enflasyonla mücadele temel önceliğimiz"" Gerek ekonomik gerek sosyal bakımdan enflasyonla mücadele temel önceliğimizdir. Geçen sene ilan ettiğimiz programımızı kararlı bir şekilde uygulayarak bunu başaracağız. Bu yılın ikinci yarısından itibaren enflasyonla mücadelemizin sonuçlarını belirgin bir şekilde görmeye başlayacağız. Böylece, yapılan ücret artışlarının zamanla erimesini önleyecek, kalıcı refah artışı sağlayacağız. Ekonomide yapısal reformlar yaparken, kamu yönetiminin verimliliğini geliştirmeye, demokratik standartlarımızı yükseltmeye, daha etkin işleyen bir adalet sistemi tesis etmeye odaklanacağız. Amacımız demokratik istikrar içinde büyümek ve büyümenin nimetlerini tüm kesimlere adaletli bir şekilde yansıtmaktır. "
9,BIST 100 endeksi dünya endekslerini geride bıraktı,"Borsa İstanbul'da BIST 100 endeksi, mart ayını yüzde 0,56 azalışla 9.142,40 puandan tamamlamasına karşın yılın ilk çeyreğinde yüzde 22,39 değer kazanarak küresel pay piyasalarını geride bıraktı.",Ekonomi,https://www.trthaber.com/haber/ekonomi/bist-100-endeksi-dunya-endekslerini-geride-birakti-848167.html,"Yılın birinci çeyreğinde, dünya genelinde önemli merkez bankalarının ne zaman faiz indirimlerine başlayacağına yönelik belirsizliğin hakim olmasına rağmen söz konusu bankaların yılın geri kalanında politika faizlerini düşürmeye başlayacaklarına ilişkin beklentilerin yoğunlaşmasıyla dünya endekslerinde zirveler yenilendi. Küresel pay piyasalarında, özellikle yarı iletken çip ve yapay zeka alanında faaliyet gösteren teknoloji şirketlerinin beklentileri aşan 4. çeyrek finansal sonuçlarının ardından risk iştahı artarken, ABD Merkez Bankası (Fed) Başkanı Jerome Powell'ın ilk çeyrekte güvercin tonlu sözle yönlendirmelerde bulunması da söz konusu seyri destekleyen etkenlerden biri oldu. BIST 100 endeksi, dalgalı mart performansına karşın ilk çeyrekte hala dünya endekslerinin önünde Yılın ilk çeyreğinde teknoloji şirketleri öncülüğünde New York Borsası'nda başlayan ralli Avrupa ve Japonya pay piyasalarına taşınırken, endekslerin tarihi yüksek seviyeleri de yenilendi. Yılbaşından bu yana ABD'de New York Borsası'nda Nasdaq endeksi yüzde 9,11, S&P 500 endeksi yüzde 10,16 ve Dow Jones yüzde 5,62 değer kazanırken, Avrupa tarafında Almanya'da DAX 40 endeksi yüzde 10,39, Fransa'da CAC 40 endeksi yüzde 8,78, İtalya'da MIB 30 endeksi yüzde 14,49 ve İngiltere'de FTSE 100 endeksi yüzde 2,84 artış kaydetti. Bu dönemde, Asya'da tarafında da Japonya'da Nikkei 225 endeksi yüzde 20,63, Hindistan'da Sensex endeksi yüzde 1,95, Çin'de Şanghay bileşik endeksi yüzde 2,23 ve Güney Kore'de Kospi endeksi yüzde 3,44 artarken, Hong Kong'da Hang Seng endeksi ise yüzde 2,97 değer kaybetti. Aynı dönemde, BIST 100 endeksi yüzde 22,39 yükselerek önemli dünya endekslerini geride bırakırken, dolar bazlı yüzde 11,39 artış kaydetti. Yıl başından bu yana tüm sektör endeksleri yükselirken, en çok kazandıran yüzde 67,54 ile bilişim oldu. Ana endekslere bakıldığında ise yüzde 45,31 artışla teknoloji endeksi dikkati çekti. Bu süreçte, BIST 100 endeksine dahil hisselerden 89'u yükselirken, 11'i değer kaybetti. En çok işlem gören hisse senetleri Türk Hava Yolları, Ereğli Demir Çelik, Tüpraş, Türkiye İş Bankası (C) ile Yapı ve Kredi Bankası oldu. Yılın ilk çeyreğinde en fazla yükseliş kaydeden hisseler arasında yüzde 89,34'le Mia Teknoloji, yüzde 80,47'yle Vestel ve yüzde 71,78 ile Bera Holding ilk üç sırada yer aldı. Qua Granite yüzde 29,62, Hektaş yüzde 16,17 ve Kayseri Şeker Fabrikası yüzde 11,83 gerileyerek yatırımcısını üzen hisseler oldu. Martta bankacılık endeksi yüzde 9,21 artış kaydetti Yurt içinde, yerel seçimlerin yaklaşmasıyla martta artan belirsizliğin risk iştahını törpülediği ve küresel pay piyasalarından negatif ayrıştığı görüldü, bankacılık endeksi yüzde 9,21 değer kazandı. BIST 100 endeksi söz konusu dönemde dalgalı bir seyir izleyerek yüzde 0,56 azalışla ayı 9.142,40 puandan tamamladı. Endeks, aynı dönemde dolar bazlı incelendiğinde yüzde 4,08 değer kaybederek 282,34 puan oldu. Bu dönemde, küresel pay piyasaları arasında Avrupa borsalarının performansı dikkati çekerken, İtalya'da MIB 30 endeksi yüzde 6,67 artışla birinci sırada yer aldı. Bölgede onu yüzde 4,61 ile Almanya'da DAX 40 endeksi, yüzde 4,23 ile İngiltere'de FTSE 100 endeksi ve Fransa'da CAC 40 endeksi yüzde 3,51 değer kazancıyla takip etti. ABD tarafında da New York Borsası'nda Nasdaq endeksi yüzde 1,79, S&P 500 endeksi yüzde 3,10 ve Dow Jones endeksi yüzde 2,08 artış kaydederken, Asya'da Güney Kore'de Kospi endeksi yüzde 3,95, Japonya'da Nikkei 225 endeksi yüzde 3,07, Çin'de Şanghay bileşik endeksi yüzde 0,86, Hindistan'da Sensex endeksi yüzde 1,59 ve Hong Kong'da Hang Seng endeksi yüzde 0,18 yükseldi. Borsa İstanbul'da yılın üçüncü ayında, bankacılık, yüzde 9,21 artışla en fazla kazandıran sektör olurken, holding endeksi yüzde 0,19 yükseliş kaydetti. Sektör endeksleri arasında en çok kaybettiren ise yüzde 18,22 ile spor oldu. Martta, BIST 100 endeksine dahil hisselerden 35'i yükselirken, 65'i değer kaybetti. Bu dönemde en çok işlem gören hisse senetleri Türk Hava Yolları, Ereğli Demir Çelik, Yapı ve Kredi Bankası, Tüpraş ile Türkiye İş Bankası (C) oldu. Aynı dönemde, en fazla yükseliş kaydeden hisseler arasında Akbank yüzde 20,65, Konya Çimento yüzde 19,91 ve Doğuş Otomotiv yüzde 19,89 değer kazanarak yatırımcısının yüzünü güldürdü. En fazla gerileyen hisseler arasında ise Kocaer Çelik yüzde 24,71, Astor Enerji yüzde 20,83 ve Kaleseramik yüzde 18,19 ile yer aldı. Türkiye'nin 5 yıllık CDS'i, mart ayını 300 baz puanın hemen üzerinde tamamladı Türkiye'nin 5 yıllık kredi risk priminin (CDS) martta dalgalı bir seyir izlediği görülürken, aylık kapanışını önceki ayın hemen üzerinde 310 baz puandan gerçekleştirdi. Öte yandan, Merkezi Kayıt Kuruluşu (MKK) tarafından risk iştahını ölçmek için oluşturulan Risk Eğilim Endeksi (REKS) verilerine göre, 29 Mart itibarıyla yabancı yatırımcıların risk iştahı 63,5 ve yerli yatırımcıların risk iştahı 61,9 seviyesinde bulunurken, tüm yatırımcıların risk iştahı 55,4 oldu. REKS'in 50 seviyesinin üzerinde olması risk iştahının fazla olduğuna işaret ediyor, bu seviyenin altı risk iştahının düşük seyrettiği şeklinde yorumlanıyor."
