,Başlık,İçerik,Kategori
0,"Türkiye, denizcilik sektöründe biyoyakıt kullanımına başlıyor","Türkiye, küresel iklim değişikliğine etkisi nedeniyle fosil yakıtlara alternatif olarak tercih edilen biyoyakıtları, denizcilik sektöründe kullanmaya hazırlanıyor.",Çevre
1,"Kızılhaç, dünya genelinde her 4 kişiden 1'inin güvenli içme suyuna erişemediğini bildirdi","Uluslararası Kızılhaç Komitesi (ICRC), dünya genelinde her 4 kişiden 1'inin güvenli bir şekilde yönetilen içme suyuna erişemediğini ve çatışma bölgelerinde buna erişmenin imkansız olduğunu belirtti.",Çevre
2,Pet şişeden içilen su mu plastik mi?,"Yaşamın kaynağı olan su, hastalıklara kapı mı aralıyor? Bu soruyu akıllara getiren ABD'de yapılan yeni bir araştırma. 1 litrelik pet şişedeki suda yaklaşık 240 bin nanoplastik tespit edildi. Nanoplastikler, plastiklerin parçalanmasıyla oluşuyor. Bu küçücük parçaların ağız yoluyla vücuda alınmasının hastalıklara davetiye çıkardığı belirtiliyor.",Çevre
3,Japonya'da kimyasal madde taşıyan tanker alabora oldu,Güney Kore bandıralı kimyasal madde taşıyan tankerin Japonya'nın batı kıyısı açıklarında alabora olduğu ve mürettebattaki 5 kişinin arandığı bildirildi.,Çevre
4,Leylek ormanı şenlendi: 7 bin kilometre uçup geldiler,"Afrika’dan 7 bin kilometre yol kat ederek Kızılırmak Deltası Kuş Cenneti’ne gelen leylekler, apartmanı andıran ‘Leylek ormanı’na yerleşti.",Çevre
5,Bakan Bayraktar: Türkiye 30 yılda karbon emisyonlarını nötr hale getirecek,"Bakan Bayraktar, ""Türkiye 30 yılda karbon emisyonlarını nötr hale getirecek ve daha çevreci, daha yeşil daha çok yenilenebilir enerjiyi kullanan bir ülke haline gelecek"" açıklamasını yaptı.",Çevre
6,"Deniz suyu sıcaklığının arttığı Rodos'ta Kızıldeniz'den gelen ""göçmen denizanası"" görüldü","Deniz suyu sıcaklığının bu yıl normalin 3 derece üzerinde olduğu Rodos Adası'nda, çapı 1 metreye kadar ulaşan ve Kızıldeniz üzerinden gelen bir tür denizanası olan göçmen denizanasının (Rhopilema Nomadica) tespit edildiği bildirildi.",Çevre
7,"Samsun'da ""Sıfır Atık"" uygulamasıyla 90 bin 225 ağaç kesilmekten kurtarıldı","Samsun Çevre, Şehircilik ve İklim Değişikliği Müdürlüğünce, kamu kurum ve kuruluşları ile sanayi tesislerinde uygulanan ""Sıfır Atık"" projesi ile 90 bin 225 ağacın kesilmekten kurtarıldığı bildirildi.",Çevre
8,İstanbul’un sinsi düşmanı: Trafik kaynaklı hava kirliliği,"İstanbul’da, hava kirliliğine yol açan en büyük faktörün trafik ve motorlu araçlar olduğu belirtiliyor. Kirlilikte aslan payı ise dizel araçların atmosfere saldığı zehirli partikül madde ve gazlara ait. Birçok hastalığa neden olan PM10, PM2.5 ve NO2 gibi kirleticilerden korunmak için trafiğin yoğun olduğu noktalarda maske kullanılması öneriliyor.",Çevre
9,Tunceli'de envanter çalışması: 11 türde 10 bin kuş var,Tunceli Valisi Bülent Tekbıyıkoğlu'nun talimatı sonrası su kuşlarına yönelik envanter çalışması yapıldı. Keban Barajı ile Uzunçayır Baraj Gölü'nde sayıları 10 bini bulan 11 su kuşu türü tespit edildi.,Çevre
