,Başlık,İçerik,Kategori
0,Kusur değil farklılık: Nöroçeşitlilik,"Üç boyutlu nesneleri zihinsel olarak resimleyebilme, karmaşık matematiksel hesaplamaları kolayca çözebilme yeteneği… Ancak diğer tarafta öğrenme güçlüğü yaşama... Bu durumu yaşayan kişiler genellikle ""nöroçeşitli"" olarak kabul ediliyor.",Çocuk
1,Sınırı akıllı işaretler mi aileler mi çizmeli?,Medya içeriklerinde çocuk ve gençler için konulan yaş sınırları akıllı işaretlerle ifade ediliyor. Kimi içerikler aileyle izlenebilirken bazılarından çocukları tamamen uzak tutmak gerekiyor. Ancak kendi yaş grubuna uygun işarete sahip bir içeriği izlemek de çocukları olumsuz etkileyebiliyor.,Çocuk
2,Gıda boyaları çocukların sağlığını etkiliyor,Gıdaları daha iştah açıcı ve dikkat çekici şekle büründürmek için kullanılan renklendiricilerin sağlık üzerindeki etkisi öteden beri tartışılan bir konu. Yasal çerçevede kullanılmayan ürünler sağlığı bozuyor. Bu durumdan en fazla etkilenenler ise çocuklar.,Çocuk
3,Belirtileri otizmle karıştırılıyor: Uyaran eksikliği,Yeterince ve yaşına uygun uyarana maruz kalmayan çocukların zihinsel ve fiziksel gelişimi olumsuz etkileniyor. Bu çocuklar otizm benzeri belirtiler gösterse de aslında rahatsızlığın başka bir adı var: Uyaran eksikliği.,Çocuk
4,Akran zorbalığı sanal ortama da taşındı,"İstanbul Üniversitesi İletişim Fakültesi Halkla İlişkiler ve Tanıtım Bölümü Öğretim Üyesi Doç. Dr. Derya Gül Ünlü, okullarda öğrencilerin birbirlerine uyguladığı akran zorbalığının, teknoloji kullanımının artmasıyla dijital ortama taşındığını söyledi.",Çocuk
5,Çocuklarda tik neden olur?,"Çocukların yaklaşık yüzde 20'sinde kısa süreli istem dışı hareketler yani tikler görülebiliyor. Ancak tikin bir yıldan uzun sürmesi, nörogelişimsel bir bozukluk olan Tourette Sendromu'na (Tik Bozuklukları) işaret ediyor.",Çocuk
6,Bademcik iltihabı gelişim bozukluğu yaratabiliyor,Çocuklarda sıkça rastlanan bademcik iltihabı basit gibi görünen ciddi bir sorun. Kolayca tedavi edilebilen bademcik iltihabı ihmal edildiğinde çocuğun gelişimini kalıcı olarak etkileyen sonuçlara yol açabiliyor.,Çocuk
7,Zaman tüm yaraları iyileştirmez: Çocukluk çağı travmaları,"Travmalar çocuğun fiziksel ve psikolojik sağlığı üzerinde derin etkiler bırakıyor, gelişimini ve gelecekteki yaşam kalitesini şekillendiriyor. Uzmanlar, çocukluk çağı travmalarının önemli bir halk sağlığı sorunu olduğuna işaret ediyor.",Çocuk
8,Çocukluk çağı kanserlerine dikkat,"Çocuklarda başta lösemi olmak üzere pek çok kanser türü görülebiliyor. Erken teşhis sayesinde pek çoğu tedavi edilebiliyor. Peki hangi belirtiler, hangi kanseri işaret ediyor?",Çocuk
9,Çocuğum fenomen olmak istiyor!,"Bir çocuğun sosyal medya platformlarını kullanabilmesi için en az 13 yaşında olması gerekiyor. Ancak çok daha küçük çocuklar da bu platformlarda boy gösteriyor. Peki, çocukların şevkini kırmadan onları sosyal medyanın tehlikelerinden korumak mümkün mü?",Çocuk
10,"Çocukların aileyle uyuması: Alışkanlık mı, güvende hissetme ihtiyacı mı?","Çocukların büyük kısmı büyüme sürecinde anne ve babaları ile uyumak ister. Bunun en önemli nedeni, anne ve baba ile kendilerini daha güvende hissetmeleri. Uzmanlara göre ise çocukların kendi odalarında uyumaya alıştırılması gerekiyor.",Çocuk
11,Çocuklar yarıyıl tatilinde TRT Çocuk Oyun Dünyası’nda buluşuyor,"Çocuklar yarıyıl tatilinin keyfini macera, spor, işletme, yapboz, sanat gibi farklı kategorilerde birçok oyunu tek bir uygulamada sunan TRT Çocuk Oyun Dünyası’nda çıkarıyor.",Çocuk
12,Tutarsız yetiştirilen çocuk kurallara uymuyor,"Çocuğunuzu bir davranışı yüzünden bazen cezalandırıyor, bazen de aynı davranış karşısında hoş görülü mü davranıyorsunuz? Tutarsızlık, pek çok ebeveynin çocuk yetiştirirken düştüğü bir hata. Çocuklarınsa ebeveyn kurallarına uymasının önündeki engellerden biri...",Çocuk
13,Neden bazı çocuklar daha çabuk öfkelenir?,Bebeklikten itibaren yüz ifadesiyle anlaşılan altı temel duygudan biri: Öfke... Mantıksızca davranışlara neden olabilen bu duygu çocukları hangi durumlarda etkisi altına alıyor? Neden bazı çocuklar daha çok öfkeleniyor?,Çocuk
14,Ebeveynlere uyarı: Negatif dile pozitif sonuç beklemeyin,"Ebeveynler karne notlarına gerekenden fazla anlam yükleyebiliyor; düşük not olan çocuklar suçlamalara ve cezalara maruz kalabiliyor. Ancak ebeveynlerin bu eleştirel tavrı çocukları motive etmiyor, aksine başarısızlığı daha da tetikliyor.",Çocuk
15,"Çocuklar neden ""hayali arkadaş"" edinir?","Küçük çocukların kendi zihinlerinde oluşturdukları karakterlerle kurdukları dostluklar, yani hayali arkadaşlar... Aileler durumdan kaygı duysa da, hayali arkadaşlık aslında sanıldığı kadar nadir ve endişe verici değil.",Çocuk
16,Sağlıklı uyku düzeni çocukların öğrenme becerisini hızlandırıyor,"Avustralya’da yapılan bir araştırmayla gündüz uykusunun, okul öncesi çocukların öğrenme sürecine olumlu etki ettiği belirlendi. Yaşamın ilk yıllarında iyi bir uyku alışkanlığı edinmenin yetişkinlikte sağlıklı bir hayat için önemli olduğu vurgulanıyor. Çocuklarda sağlıklı uyku düzeninin sağlanması için ise ebeveynlerin dikkat etmesi gerekenler var.",Çocuk
17,Altın çocuk sendromu: Başarılı olmaya zorlanan çocuklar,"Bulundukları ortama uygun davranışlarıyla ve başarılarıyla dikkat çeken, dolayısıyla da herkes tarafından örnek gösterilen çocuklara yönelik bir tabir; altın çocuk… Ancak örnek çocuk olmak beraberinde bir sendromu da getirebiliyor. Buna ""Altın çocuk sendromu"" adı veriliyor.",Çocuk
18,Çocuklarda kışla birlikte RSV vakaları arttı,"Çocuklarda mevsimsel etkiyle üst solunum yolu enfeksiyonlarında artış yaşanıyor. Uzmanlar, Özellikle 0-2 yaş aralığındaki bebekler açısından risk oluşturan Respiratuar Sinsityal Virüsle (RSV) sık karşılaştıklarını açıkladı.",Çocuk
19,Bipolar bozukluk mu DEHB mi?,"Kimi dönem coşkun, diğer dönemlerde ise depresif... İki uçta yaşanan duygular arasındaki hızlı, kontrolsüz geçişlere yol açmasıyla bilinen bipolar bozukluk, nadiren çocuklarda da görülüyor.",Çocuk
20,"""Akran zorbalığı"" PISA araştırmasına katılan ülkelerin tamamında görülüyor","Ekonomik İşbirliği ve Kalkınma Örgütünce (OECD) 37'si üye, 81 ülkede uygulanan Uluslararası Öğrenci Değerlendirme Programı (PISA) 2022 verilerine göre akran zorbalığı uygulamaya katılan ülkelerin tamamında görülüyor.",Çocuk
21,"Çocuk mu bağımlı, anne mi? Bağımlı anne sendromu",Ebeveynlerin yetiştirme tutumları çocuklarda anneye bağımlılık gelişmesine yol açabiliyor. Bu duruma bağımlı anne sendromu da deniyor.,Çocuk
22,"Çocuklar ""Çocuk Dostu Uygulamalar"" ile zararlı içeriklerden korunuyor","Aile ve Sosyal Hizmetler Bakanlığının ""Çocuk Dostu Uygulamalar""ı, sosyal medya başta olmak üzere her türlü mecradaki zararlı içeriklerden çocukları korumak amacıyla ""sanal kalkan"" görevi görüyor.",Çocuk
23,Depresyon çocukluk çağında da ortaya çıkabiliyor,"Depresyonun ilk belirtileri sanıldığından erken yaşlarda, çocuklukta görülebiliyor. Çocukluk çağı depresyonu olarak adlandırılan bu durum tedavi edilmezse ergenlikte de devam edebiliyor.",Çocuk
24,Sağlıklı dişlerin temeli çocuklukta atılıyor,"Çürüyen dişler, düşmeye bağlı travmalar ve diş eti hastalıkları… Çocukluk döneminde sık görülen ağız ve diş problemleriyle başa çıkmada ailelere önemli bir rol düşüyor.",Çocuk
25,Ebeveynlerin tutumu çocuklarda narsisizmi nasıl etkiliyor?,"Son yıllarda görülme sıklığı artan narsisizmin temelleri çocukluk çağında atılıyor. Ebeveynlerin çocuklarına yönelik takındığı tutumlar, narsist davranışlara yol açabiliyor.",Çocuk
26,Prematüre bebeklerin bakımı özen istiyor,"Türkiye’de her yıl binlerce bebek, vaktinden haftalar önce dünyaya geliyor. ""Prematüre"" olarak adlandırılan bu bebekler pek çok ciddi sağlık sorunuyla karşı karşıya kalıyor. Peki, prematüre doğumun sebepleri neler? Bebeği ve aileleri doğum sonrası nasıl bir süreç bekliyor?",Çocuk
27,Ara tatil için güvenilir çocuk oyun uygulamaları TRT Çocuk'tan,"Ara tatilde çocuklar güvenilir, ücretsiz ve reklamsız TRT Çocuk oyun uygulamalarıyla hem eğlenecek hem de öğrenecek.",Çocuk
28,Filistinli çocuklar bu şiddeti ömür boyu unutamayacak,"4 binin üzerinde çocuk öldü, binlercesi yaralandı. Filistin'de her 10 dakikada 1 çocuk hayatını kaybediyor. Gazze, açık hava hapishanesinden adeta çocuk mezarlığına dönüyor. Hayatta kalan çocuklarsa ailelerini, evlerini, yakınlarını kaybediyor, zihinlerinde tamiri olmayacak yaralar oluşuyor. Kısacası Filistin'deki bütün çocuklar kurban...",Çocuk
29,Lösemi ile mücadelede kök hücre yöntemi,Özellikle çocuklarda sıkça görülen bir kanser türü olan löseminin tedavi yollarından biri de kök hücre nakli. Bağışçıya herhangi bir zararı olmayan bu işlemle pek çok çocuk sağlığına kavuşuyor. Bunun için kök hücre bağışı yapmak büyük önem taşıyor.,Çocuk
30,Bebeklerde ve çocuklarda besin alerjileri arttı,"Besin alerjileri en fazla bebeklik ve çocukluk çağında görülüyor. Özellikle son yıllarda çeşitli nedenlere bağlı olarak bir artış söz konusu. Uzmanlar, ailelerin bu konuda dikkatli olması gerektiğini söylüyor.",Çocuk
31,Çatışma görüntüleri çocuklarda şiddet algısını normalleştiriyor,"Çocuklar terörün ve savaşın masum kurbanları… Her türden şiddet eylemlerinin çocuklar üzerinde yarattığı travmatik etkiler, onların fiziksel, psikolojik ve ahlaki gelişimleri üzerinde kalıcı zarar bırakıyor.",Çocuk
32,Kardeşler arası kıyaslama çocukları nasıl etkiliyor?,Kardeşler arasındaki ilişki ele alındığında akla gelen ilk kavramlardan biri de 'kıskançlık' olur. Kıskançlığın kaynağında ise anne babanın tavrı yatıyor. Kardeşler arası kıyaslamanın çocuk dünyasına etkisine yakından baktık...,Çocuk
