,Başlık,İçerik,Kategori
0,Küresel piyasalar ABD verilerine odaklandı,"Küresel piyasalarda karışık bir seyir izlenirken, gözler gelecek hafta ABD'de açıklanacak istihdam verilere çevrildi.",Ekonomi
1,Mart enflasyonu çarşamba günü açıklanacak,Bu yılın mart ayına ilişkin enflasyon rakamları 3 Nisan Çarşamba günü açıklanacak.,Ekonomi
2,"Çiftçilere 142,6 milyon liralık destekleme ödemesi yapıldı","Tarım ve Orman Bakanlığı, 142 milyon 582 bin lira destekleme ödemesinin bugün çiftçilerin hesaplarına aktarıldığını açıkladı.",Ekonomi
3,Borsa günü yükselişle tamamladı,"Borsa İstanbul'da BIST 100 endeksi, günü yüzde 0,69 değer kazanarak 9.142,40 puandan tamamladı.",Ekonomi
4,Xiaomi elektrikli araç piyasasına girdi,"Çinli akıllı telefon ve elektronik cihaz üreticisi Xiaomi, yeni geliştirdiği elektrikli araç modeliyle otomobil piyasasına giriş yaptı.",Ekonomi
5,Borsa günün ilk yarısında yükseldi,"Borsa İstanbul'da BIST 100 endeksi, günün ilk yarısında yüzde 0,12 değer kazanarak 9.091,13 puana çıktı.",Ekonomi
6,LPG ithalatı ocakta yıllık bazda azaldı,"Türkiye'nin LPG ithalatı, ocakta geçen senenin aynı ayına göre yüzde 18,47 azalarak 274 bin 474 ton oldu.",Ekonomi
7,Evlilik kredisine Kahramanmaraş'ta 1981 çift başvurdu,Gençlere evlilik desteği kapsamında sunulan 150 bin liralık faizsiz kredi için depremin merkez üssü Kahramanmaraş'ta 42 günde 1981 çift başvuru yaptı.,Ekonomi
8,Bakan Şimşek: Orta-uzun vadeli dış borç çevirme oranı reel sektörde yüzde 113’e ulaştı,"Hazine ve Maliye Bakanı Mehmet Şimşek, ""Uygulamaya koyduğumuz program sayesinde Türkiye’nin dış finansmana erişimi güçlü seyrine devam ediyor. Haziran-Ocak döneminde orta-uzun vadeli dış borç çevirme oranı bankalarda yüzde 140’a, reel sektörde yüzde 113’e ulaştı"" ifadelerine yer verdi.",Ekonomi
9,Doğal gazda nisan tarifesinde değişikliğe gidilmedi,"Boru Hatları ile Petrol Taşıma AŞ (BOTAŞ), nisan itibarıyla mesken ve sanayi abonelerinin kullandığı gazın ve elektrik üretim amaçlı gazın satış tarifesinde değişiklik yapılmadığını duyurdu.",Ekonomi
10,Enerji ithalatı faturası şubatta azaldı,"Türkiye'nin enerji ithalatı için ödediği tutar, şubatta geçen yılın aynı ayına göre yüzde 14,6 azalarak 5 milyar 755 milyon 938 bin dolar oldu.",Ekonomi
11,Bakan Şimşek: Dış kaynak akışı bu yıl da tüm hızıyla sürdü,"Hazine ve Maliye Bakanı Mehmet Şimşek, ""Türkiye'nin ekonomi yol haritasına duyulan güven, dış kaynak akışının bu yıl da tüm hızıyla sürmesini sağladı"" dedi.",Ekonomi
12,Küresel piyasalar Fed'e odaklandı,"Küresel piyasalarda, bugün ABD Merkez Bankası Başkanı Jerome Powell'ın açıklamaları ve Banka'nın enflasyon göstergesi olarak dikkate aldığı kişisel tüketim harcamaları verileri yatırımcıların odağına yerleşti.",Ekonomi
13,Hizmet Üretici Fiyat Endeksi arttı,"Hizmet Üretici Fiyat Endeksi (H-ÜFE), şubatta aylık bazda yüzde 2,94, yıllık bazda yüzde 83,02 artış gösterdi.",Ekonomi
