,Başlık,İçerik,Kategori
0,Uşak'ta 30 öğretmen sahurda davul çaldı,"Uşak İl Milli Eğitim Müdürlüğü Ritimde Öğretmenler Müzik ve Dans Topluluğu bünyesindeki 30 öğretmen, mani söyleyip davul, darbuka ve bendir çalarak vatandaşları sahura uyandırdı.",Güncel
1,Düzce'de deprem konutları hak sahiplerine teslim ediliyor,"Düzce'de 23 Kasım 2022'de meydana gelen depremin ardından Toplu Konut İdaresi Başkanlığı tarafından inşa edilen konutlar, hak sahiplerine teslim edilmeye başlandı.",Güncel
2,Afyonkarahisar'da göçmen kaçakçılığı yaptığı öne sürülen şüpheli yakalandı,Afyonkarahisar'da göçmen kaçakçılığı yaptığı iddiasıyla 1 kişi gözaltına alındı.,Güncel
3,Trabzon'da göçükte hayatını kaybeden iki işçinin cenazesi defnedildi,Trabzon'un Hayrat ilçesinde dün içme suyu hattı çalışmaları sırasında meydana gelen göçükte hayatını kaybeden işçiler İbrahim Keskin ve Mehmet Sultan Allahverdi'nin cenazeleri toprağa verildi.,Güncel
4,Zonguldak'ta kaçak kazı yapan 2 şüpheli yakalandı,Zonguldak'ın Karadeniz Ereğli ilçesinde kaçak kazı yapan 2 zanlı gözaltına alındı.,Güncel
5,Şırnak'ta 2 bin 230 rakımlı Tanin Geçidi'nde kar temizleme çalışması devam ediyor,Şırnak'ın Uludere ilçesinde 2 bin 230 rakımlı Tanin Geçidi'nde kar temizleme çalışması yürütülüyor.,Güncel
6,Karaman'da çeşitli suçlardan aranan 11 kişi yakalandı,Karaman'da çeşitli suçlardan aranan 11 kişi jandarma ekiplerince yakalandı.,Güncel
7,Yalova’da su sporları sezonu açıldı,Yalova Su Sporları ve Balık Adamlar Kulübü sezon açılışı gerçekleşti.,Güncel
8,Giresun’da oy kullanılacak okullar seçime hazır,Yarın yapılacak Mahalli İdareler Seçimleri için Giresun’daki okullarda hazırlıklar tamamlandı. Yaklaşık bin 456 sandıkta 361 bin 334 seçmen belediye başkanlığı için oy kullanacak.,Güncel
9,Erzurum'da seçim güvenliği için 5 bin 67 jandarma ve polis görev yapacak,"Erzurum Valisi Mustafa Çiftçi, yarın yapılacak Mahalli İdareler Genel Seçimleri'nde 5 bin 67 jandarma ve polisin güvenliği sağlayacağını bildirdi.",Güncel
10,Yüksekova polisinden kütüphaneye kitap desteği,"Hakkari'nin Yüksekova ilçesinde polis ekipleri, ziyaret ettikleri okulun kütüphanesine kitap desteğinde bulundu.",Güncel
11,Kayseri'de silahlı kavgada 3 kişi yaralandı,Kayseri'de iki grup arasında çıkan silahlı kavgada yaralanan 3 kişi hastaneye kaldırıldı.,Güncel
12,Elazığ'da kaçakçılık operasyonunda 1 şüpheli yakalandı,Elazığ'da düzenlenen kaçakçılık operasyonunda 1 şüpheli gözaltına alındı.,Güncel
13,Hatay'da çocuklar ramazanın maneviyatını camide etkinliklerle öğreniyor,"Hatay'ın Dörtyol ilçesinde aileleriyle teravih namazına gelen çocuklar, oyuncaklar ve süslemelerle donatılan Süleymaniye Camisi'nde hem oynayıp eğlenceli vakit geçiriyor hem de ramazanın manevi atmosferini soluyor.",Güncel
14,Edirne'de sera alanı artırılacak,"Edirne'de devlet desteğiyle kurulan 40 sera, törenle üreticilere teslim edildi.",Güncel
15,Türk Kızılay Osmaniye'de iftar programı düzenledi,Türk Kızılay tarafından Osmaniye'de iftar programı düzenlendi.,Güncel
16,Tokat'ta Bağtaşı köyü yeniden belde statüsü kazandı,"Tokat'ın Almus ilçesine bağlı Bağtaşı köyünün, yürütülen hukuki süreç sonucunda yeniden belde olmasına karar verildi.",Güncel
17,Çorum'da asayiş uygulamalarında silah ve fişek ele geçirildi,Çorum'da polis ekiplerince yapılan asayiş uygulamalarında silah ve fişek ele geçirildi.,Güncel
18,"Siirt'te öğrenci minibüsü devrildi: 1 ölü, 6 yaralı","Siirt'in Pervari ilçesinde öğrenci minibüsünün devrilmesi sonucu meydana gelen kazada 1 öğrenci hayatını kaybetti, 6 kişi yaralandı.",Güncel
19,Vefalı liseliler şehit mezarlarının bakımını yapıyor,"Yozgat Nida Tüfekçi Güzel Sanatlar Lisesi öğrencileri kent merkezi ve köylerdeki şehit kabirlerini ziyaret ederek, solmuş yazılarını ve bayraklarını yeniliyor, çevre temizliği yapıyor.",Güncel
20,Kırıkkale'de 23 bin makaron ele geçirildi,Kırıkkale'de polis ekiplerince 2 bin 600'ü dolu 23 bin makaron ve kaçak ürünler ele geçirildi.,Güncel
21,Adana'da çiftçilere soya tohumu dağıtıldı,Adana'nın 9 ilçede çiftçilere hibe destekli 22 ton soya tohumu dağıtıldı.,Güncel
22,Kırklareli'nde jandarma motosiklet sürücülerini bilgilendirildi,Kırklareli Jandarma Komutanlığı ekipleri motosiklet sürücülerine güvenli trafik eğitimi verdi.,Güncel
23,Sındırgı'da 10 bin kişilik iftar verildi,Balıkesir’in Sındırgı ilçesinde yaklaşık 10 bin kişinin katılımıyla iftar düzenlendi.,Güncel
24,Salda Gölü yakınında erkek cesedi bulundu,Burdur'un Yeşilova ilçesindeki Salda Gölü yakınında erkek cesedi bulundu.,Güncel
25,Amasya'da 40 düzensiz göçmen yakalandı,"Amasya'da mercimek yüklü tırın dorsesinde 40 düzensiz göçmen yakalandı, sürücü gözaltına alındı.",Güncel
26,Muş Valisi Çakır karla mücadele ekiplerini ziyaret etti,"Muş Valisi Avni Çakır, kar kalınlığının yer yer 7 metreyi bulduğu Üçevler grup köy yolunda çalışma yürüten karla mücadele ekiplerini ziyaret etti.",Güncel
27,Marmaris'te 2 bin 500 yıllık kaya mezarı turizme kazandırılacak,Muğla'nın Marmaris ilçesinde tespit edilen Karya dönemine ait 2 bin 500 yıllık kaya mezarının çevresinde düzenleme yapılacak.,Güncel
28,Melikgazi Belediyesi gastronomi sokağı kuracak,"Melikgazi Belediye Başkanı Mustafa Palancıoğlu, ilçeye ""Ortaköy Sokağı"" ismini verecekleri gastronomi sokağı kuracaklarını duyurdu.",Güncel
29,Şarampole devrilen otomobil elektrik direğine çarptı: 5 yaralı,"Elazığ'ın Karakoçan ilçesinde meydana gelen trafik kazasında, 1'i ağır 5 kişi yaralandı.",Güncel
30,Bursa'da jandarma personeli tarım araçlarının güvenli kullanımını öğreniyor,"Jandarma Genel Komutanlığının sorumluluk alanlarında emniyet ve asayiş ile kamu düzeninin sağlanması için zorlu iklim ve arazi koşullarında görev yapan jandarma personeline kırsal alanlarda traktör kazalarını azaltmak, bölge halkına sürüş eğitimi vermeleri amacıyla Bursa'da ""Tarım Araçlarının Güvenli Kullanımı Eğitimi"" uygulanıyor.",Güncel
31,Sapanca Gölü'ne sızan yakıtın temizlenmesi için çalışma yürütülüyor,Kocaeli'de petrol boru hattına müdahale sonucu yaşanan yakıt sızıntısı nedeniyle kirliliğin oluştuğu Sapanca Gölü'nde temizlik çalışmaları sürüyor.,Güncel
32,Aydın'daki uyuşturucu operasyonunda 1 kişi tutuklandı,Aydın'ın Efeler ilçesinde uyuşturucu ticareti yaptığı suçlamasıyla gözaltına alınan şüpheli tutuklandı.,Güncel
33,Düzce Üniversitesi öğrencilerinin 68 projesine destek,"Düzce Üniversitesi’nin 68 projesi, üniversite öğrencileri sanayiye yönelik araştırma projeleri desteği programı dahilinde desteklenmeye hak kazandı.",Güncel
34,Çanakkale’de seçim güvenlik toplantısı yapıldı,"Çanakkale'de, 31 Mart Mahalli İdareler Genel Seçimleri öncesi seçim güvenlik toplantısı yapıldı.",Güncel
35,Kayseri'de kumar oynayan 24 kişiye işlem yapıldı,Kayseri'de polisin kumar oynatıldığını tespit ettiği iş yerlerine düzenlediği operasyonlarda 24 kişiye işlem yapıldı.,Güncel
36,Niğde’de seçim güvenliği için 1647 kolluk kuvveti görevlendirildi,Niğde'de 31 Mart'taki Mahalli İdareler Genel Seçimleri için 1647 kolluk kuvvetinin görevlendirildi.,Güncel
37,Adana'da camilerde dolandırıcılık olaylarına karşı bilgilendirme yapıldı,"Adana'da İl Emniyet Müdürlüğü ve İl Müftülüğü, vatandaşları internet üzerinden yapılan dolandırıcılık olaylarına karşı bilgilendirdi.",Güncel
38,"Kastamonu'nun Daday ilçesi Türkiye'nin 25. ""Sakin Şehri"" oldu",Kastamonu'nun Daday ilçesi Sakin Şehirler Ağı'na dahil oldu.,Güncel
39,Gaziantep'te yapımında sona gelinen 500 konut hak sahiplerine teslim edildi,Gaziantep Büyükşehir Belediyesine bağlı Gazi Konut tarafından Güneyşehir bölgesinde yapımı süren 500 konut için anahtar teslim töreni düzenlendi.,Güncel
40,Kars'ta çil keklikler karlı arazide yiyecek ararken görüntülendi,Kars'ta karla kaplı arazide yiyecek arayan çil keklikler görüntülendi.,Güncel
41,Mardin'de havaya ateş eden iki şahıs tutuklandı,Mardin'de 2 grup arasında çıkan tartışma sonrası tabanca ile havaya ateş eden 2 şahıs tutuklandı.,Güncel
42,Adana'da terör örgütü DEAŞ üyesine 15 yıla kadar hapis istemi,Adana'da terör örgütü DEAŞ üyesi olduğu gerekçesiyle tutuklanan sanık hakkında 15 yıla kadar hapis cezası istemiyle dava açıldı.,Güncel
43,Jandarma Cayrokopter ile havadan denetliyor,Aksaray’da Cayrokopter ile havadan trafik denetimi yapan jandarma kural ihlallerini kilometrelerce uzaktan tespit ediyor.,Güncel
44,Bolu'da silahlı gasp olayına ilişkin 4 şüpheli tutuklandı,Bolu'daki silahlı gasp olayına ilişkin İstanbul ve Muğla'da gözaltına alınan 4 şüpheli tutuklandı.,Güncel
45,Karabük'te kaçak kazı yapan kişi suçüstü yakalandı,Karabük'ün Safranbolu ilçesinde kaçak kazı yapan kişi gözaltına alındı.,Güncel
46,Elazığ'da asayiş operasyonunda 27'si hükümlü 31 kişi yakalandı,Elazığ'da düzenlenen asayiş operasyonunda 27'si hükümlü 31 kişi yakalandı.,Güncel
47,Hatay'da depremde hasar alan mescit ibadete açıldı,"Hatay'da, 6 Şubat 2023'teki depremlerde hasar alan ve gerçekleştirilen restorasyon sonrası ibadete açılan Hünkar Mescidi'nde cuma namazı kılındı.",Güncel
48,Antalya'da silahlı çatışma: 25 zanlı adliyede,Antalya'da iki grup arasında çıkan ve 19 kişinin yaralandığı silahlı çatışmada gözaltına alınan 25 şüpheli adliyeye sevk edildi.,Güncel
49,Ardahan'da veterinere götürülürken pikaptan düşen buzağı tedavi edildi,"Ardahan'da veterinere götürülürken pikaptan düşüp kaybolan buzağı, köylülerce bulunup tedavisi yapıldıktan sonra sahibine teslim edildi.",Güncel
50,Bingöl’de 8 kilogram esrar ele geçirildi,Bingöl’ün Genç ilçesinde jandarma ekiplerinin düzenlediği operasyonda 8 kilo 750 gram esrar ele geçirildi.,Güncel
