,Başlık,İçerik,Kategori
0,Cumhurbaşkanı Erdoğan: Milli iradenin üstünlüğüne inan bir kadro olarak yetkiyi başka yerlerde aramadık,"Cumhurbaşkanı Recep Tayyip Erdoğan, ""Her seçim dönemini milletimize geçmişte yaptıklarımızın hesabını verme ve gelecekte yapacaklarımızın ruhsatını alma vesilesi olarak gördük. Milli iradenin üstünlüğüne tüm kalbiyle inan bir kadro olarak yetkiyi hiç bir zaman başka yerlerde ve yöntemlerde aramadık"" dedi.",Gündem
1,Yılmaz: Türkiye Yüzyılı kadınların yüzyılı olacak,"Cumhurbaşkanı Yardımcısı Cevdet Yılmaz, ""Güçlü yarınlara Türkiye Yüzyılı'na kadınlarla yürüyeceğiz. Türkiye Yüzyılı aynı zamanda kadınların yüzyılı olacaktır."" dedi.",Gündem
2,Bakan Yumaklı: Türkiye Yüzyılı'nı 81 ilimizle birlikte inşa edeceğiz,"Tarım ve Orman Bakanı İbrahim Yumaklı, ''31 Mart'ta yerel yönetimler de katıldığı andan itibaren artık hep beraber Türkiye Yüzyılı'nı yerel yönetimlerle, ilçelerle, ilimizle, 81 ilimizle birlikte inşa edeceğiz'' dedi.",Gündem
3,Kara propaganda: İsrail'in aldatma sistemi,"İsrail, Gazze'de binlerce sivilin katledilmesine meşruiyet sağlayan, Filistinlilerin canlarını daha önemsiz gösteren büyük bir kara propaganda aygıtı işletiyor. Detayları gelin birlikte inceleyelim...",Gündem
4,Cumhurbaşkanı Erdoğan: İstanbul kimsenin oyuncağı haline getirilemez,"Cumhurbaşkanı Recep Tayyip Erdoğan, ""Bu şehir hiç kimsenin şahsi ihtiraslarının aracı, atlama taşı, basamağı, oyuncağı, finans kaynağı haline getirilemez"" dedi.",Gündem
5,İçişleri Bakanlığı'nda güvenlik toplantısı,"İçişleri Bakanı Ali Yerlikaya, Jandarma Genel Komutanı, Emniyet Genel Müdürü, Sahil Güvenlik Komutanı ve bakanlığın birim yöneticileriyle seçim güvenliği ile suç odaklarıyla mücadeleyi içeren güvenlik toplantısı gerçekleştirdiklerini bildirdi.",Gündem
6,YSK Başkanı Yener: Seçimlerin güvenli bir ortamda gerçekleşmesi için tüm tedbirler alındı,"Yüksek Seçim Kurulu (YSK) Başkanı Ahmet Yener, ""Yüksek Seçim Kurulu il ve ilçe seçim kurulları son hazırlıklarını yapmış ve şu an itibariyle 31 Mart 2024 tarihinde gerçekleşecek olan seçimlere hazır vaziyetteyiz"" dedi.",Gündem
7,Trenlerde emekliler yüzde 10 indirimli seyahat edecek,"Ulaştırma ve Altyapı Bakanı Abdulkadir Uraloğlu, 2024 Emekliler Yılı kapsamında bakanlığa ait trenlerde emeklilerin yüzde 10 indirimli seyahat edeceğini ve bayramda hızlı trenlerde ek sefer uygulanacağını açıkladı.",Gündem
8,ABD Temsilciler Meclisi Silahlı Kuvvetler Komitesi Türkiye'de,"ABD Temsilciler Meclisi Silahlı Kuvvetler Komitesi heyeti, çeşitli temaslarda bulunmak üzere Türkiye'ye geldi. Heyet, Milli Savunma Bakanı Yaşar Güler ile görüştü.",Gündem
9,"YÖK, dünya sıralamalarında ilk 400'de olan üniversitelere doğrudan denklik verecek","Yükseköğretim Kurulu (YÖK), dünya sıralamalarında ilk 400'de bulunan üniversitelerden mezun olanlara doğrudan denklik verileceğini, ilk 1000'de yer alanlardan mezun olanlarda ise YKS'ye girme şartı aranmayacağını açıkladı.",Gündem
