,Başlık,İçerik,Kategori
0,2 bin 500 yıllık kaya mezarı turizme kazandırılacak,Muğla'nın Marmaris ilçesinde tespit edilen Karya dönemine ait 2 bin 500 yıllık kaya mezarının çevresinde düzenleme yapılacak.,Kültür Sanat
1,'Kaplumbağa Terbiyecileri' komşu oldu,'Kaplumbağa Terbiyecileri' komşu oldu. Osman Hamdi Bey'in birer yıl arayla yaptığı tablolar İstanbul Beyoğlu'nda sergileniyor.,Kültür Sanat
2,Bakan Ersoy: Turizmi 12 aya ve 81 ile yayacağız,"Kültür ve Turizm Bakanı Mehmet Nuri Ersoy, ""Ülkemizin potansiyelini esere, hizmete, faydaya dönüştürmeyi sürdüreceğiz. 12 ay boyunca 81 ilinde turizm hareketi olan bir turizm ülkesi olarak Türkiye'yi lider ülkelerin arasına sokacak ve kalıcı olmasını sağlayacağız"" dedi.",Kültür Sanat
3,Kültür Yolu Festivali'nin programı açıklandı,"Kültür ve Turizm Bakanı Mehmet Ersoy, Türkiye Kültür Yolu Festivali'nin 2024 yılı takvimini açıkladı. Ersoy, ""2023'e geldiğimizde festivale katılım sağlayan sanatçı sayımız 34 bin seviyesine ulaştı. Bu yılki hedefimiz ise 40 bin sanatçı"" açıklamasını yaptı.",Kültür Sanat
4,Türkiye'deki kütüphanelerde kullanıcı sayısı 33 milyonu geçti,"Kültür ve Turizm Bakanlığı Kütüphaneler ve Yayımlar Genel Müdürü Taner Beyoğlu, halk kütüphaneleri sayısının 1298 olduğunu, kullanıcı sayısının da 33 milyonu aştığını açıkladı.",Kültür Sanat
5,tabii'den merak uyandıran yeni dizi: Gassal,"TRT'nin dijital platformu tabii, yeni dizi Gassal'ı izleyiciyle buluşturmaya hazırlanıyor. Başrolde oyuncu Ahmet Kural’ın yer aldığı dizinin yönetmen koltuğunda Selçuk Aydemir oturuyor. TRT Haber ekibi dizinin setine konuk oldu, oyuncular projeyle ilgili detayları anlattı.",Kültür Sanat
6,İftar ile sahur arasında vazgeçilmez lezzet: Közde çay,Konya'da vatandaşlar iftar ile sahur arasında közde demlenen çayın keyfini çıkarıyor.,Kültür Sanat
7,Kadir İnanır hastaneye kaldırıldı,"Sanatçı Kadir İnanır, İstanbul'daki evinde rahatsızlanarak hastaneye kaldırıldı. Beyin damarına pıhtı attığı öğrenilen İnanır'ın yoğun bakımda tedavisi sürüyor.",Kültür Sanat
8,"""Çizgi Ötesi"" sergisi Nevmekan Sahil Galeri'de açıldı","Hattat Savaş Çevik'in son dönem eserlerinden oluşan ""Çizgi Ötesi"" adlı hüsnühat sergisi sanatseverlerle buluştu.",Kültür Sanat
9,Oyuncu Bahar Öztan son yolculuğuna uğurlandı,"Kanser nedeniyle vefat eden ünlü oyuncu Bahar Öztan, Şakirin Camisi'nde kılınan cenaze namazının ardından son yolculuğuna uğurlandı.",Kültür Sanat
10,TRT Avaz’ın 15. Yılı ve Nevruz Özel Konseri düzenlendi,"15 yıldır yayın hayatına devam eden Türk dünyasının ortak kanalı TRT Avaz’ın kuruluş yıl dönümü özel bir konserle kutlandı. “TRT Avaz 15’inci Yıl ve Nevruz Özel Konseri”nde 40 kişilik senfoni orkestrası ile 6 ülkeden solist, Türk dünyasına ait unutulmaz eserleri seslendirdi.",Kültür Sanat
11,Türk sinemasının usta oyuncularından Bahar Öztan hayatını kaybetti,"Türk sinemasının unutulmaz oyuncularından olan Bahar Öztan tedavi gördüğü hastanede hayatını kaybetti. Daha önce 3 kez kanseri yenen Bahar Öztan, uzun süredir tedavi gördüğü kolon kanseriyle nedeniyle 61 yaşında vefat etti.",Kültür Sanat
12,1800 yıllık İznik Roma Tiyatrosu'nda restorasyon tamamlandı,"Bursa'nın İznik ilçesinde 2'nci yüzyılda Roma İmparatoru Trajan tarafından Bitinya Valisi olan tarihçi ve yazar Plinius'a yaptırılan tiyatro, Bursa Büyükşehir Belediyesince yürütülen restorasyonun tamamlanmasının ardından yeniden ziyarete açıldı.",Kültür Sanat
13,Bu hafta 13 film vizyona girecek,"Sinema salonlarında bu hafta altısı yerli, 13 film vizyona girecek.",Kültür Sanat
14,Seddülbahir Kalesi'nin restorasyon projesine ödül,"Gelibolu Yarımadası'ndaki Seddülbahir Kalesi'nin restorasyon projesi, İtalya'daki, Uluslararası Domus Restorasyon ve Koruma Ödülleri'nde, ""Kısa Liste Ödülü""ne layık görüldü.",Kültür Sanat
15,Aşık Veysel'in vefatının üzerinden 51 yıl geçti,"Sazı ve birbirinden anlamlı sözleri ile günümüzü aydınlatan Aşık Veysel, 51 yıl önce bugün ""Benim sadık yarim"" dediği kara toprağa kavuştu. Geride ise unutulmaz eserler bıraktı.",Kültür Sanat
16,Bakan Uraloğlu: Topraklarımızın tarihine de geçmişine de sahip çıkıyoruz,"Ulaştırma ve Altyapı Bakanı Abdulkadir Uraloğlu, ""Artık ülkemizde biz sadece insanları ulaştırmıyoruz, sadece seyahat ettirmiyoruz, gerçekten her dönemde olan, ülkemizin, vatanımızın, topraklarımızın tarihine de geçmişine de sahip çıkıyoruz"" dedi.",Kültür Sanat
17,Türk dizilerinin yeni hedefi dünyanın en kalabalık ülkesi Çin,Her yıl yaklaşık 170 ülkeye ihraç edilen Türk dizileri dünyanın kalabalık ülkesi Çin'e girmeyi hedefliyor.,Kültür Sanat
18,Rusya’da Atatürk Kültür Merkezi’ne uluslararası ödül,"İstanbul’un sembol yapılarından Atatürk Kültür Merkezi (AKM), Rusya’da “yılın konser ve tiyatro merkezi” seçilerek uluslararası “BraVo” ödülü aldı.",Kültür Sanat
19,"""Telif Hakları"" konulu senaryo yarışmasının başvuruları başladı","Sinema ve Televizyon Eseri Sahipleri Meslek Birliği (SETEM) tarafından, ""Benim Eserim"" projesi kapsamında hayata geçirilen ""Telif hakları"" konulu senaryo yarışmasının beşincisi gerçekleştirilecek.",Kültür Sanat
20,"İzmir Devlet Opera ve Balesi, konserle şehitleri andı","İzmir Devlet Opera ve Balesi, 18 Mart Şehitleri Anma Günü ve Çanakkale Deniz Zaferi'nin 109. yıl dönümü dolayısıyla Elhamra Sahnesi'nde seyirciyle buluştu.",Kültür Sanat
21,"Fatih'in şehzadelik dönemine tarihlenen ""tılsımlı madalyon"" Londra'da satışa çıkacak","Fatih Sultan Mehmet'in şehzadeliği dönemine tarihlenen bir madalyon üzerine işlenmiş portresi, İngiltere'deki Bonhams Müzayede Evi tarafından 1,5-2 milyon sterlinlik tahmini satış bedeliyle açık artırmaya çıkarılacak.",Kültür Sanat
22,Zaferin 109 yıllık mirası Gelibolu Yarımadası'ndaki müzelerde yaşatılıyor,"Çanakkale'de göğüs göğüse çarpışarak canlarını feda eden Mehmetçik ile İtilaf Devletleri askerlerinin muharebelerden kalan eşyaları ve savaş malzemeleri, Gelibolu Yarımadası'ndaki müzelerde sergilenerek geleceğe taşınıyor.",Kültür Sanat
23,"""Yüzyılın Yüzleri: Kani Karaca ve Doğan Ergin"" konseri 23 Mart'ta sanatseverlerle buluşacak","Türk müziğinin iki önemli ismi, Kani Karaca ile Doğan Ergin'in sanat yaşamlarını ve katkılarını anmak üzere özel bir konser gerçekleştirilecek.",Kültür Sanat
24,Gelibolu'daki Sıhhiye Müzesi FPV dronla görüntülendi,"Çanakkale'de Tarihi Gelibolu Yarımadası'nda bulunan Sıhhiye Müzesi, FPV dronla kayda alındı.",Kültür Sanat
25,Tarihi Gelibolu Yarımadası 18 Mart Zaferi'nin 109. yıl dönümü törenlerine hazır,Tarihi Gelibolu Yarımadası'nda Şehitleri Anma Günü ve Çanakkale Deniz Zaferi'nin 109. yıl dönümü dolayısıyla 18 Mart'ta yapılacak törenler için son hazırlıklar tamamlandı.,Kültür Sanat
26,Bakan Ersoy: Arkeolojik çalışma sayısını yıllık 720'ye yükselttik,"Kültür ve Turizm Bakanı Mehmet Nuri Ersoy, ""Antalya'yı merkeze alan 'Türk Arkeoloji Tarihinin Altın Çağı-Geleceğe Miras' Projemiz kapsamında arkeolojik çalışma sayısını, yıllık 720'ye yükselttik."" dedi.",Kültür Sanat
27,"Türkiye Kitap ve Kültür Fuarı, 41. kez okurları ağırlıyor","Türkiye Diyanet Vakfı ve Vakıf Fuarcılık tarafından her yıl ramazan ayında düzenlenen ""Türkiye Kitap ve Kültür Fuarı"", Fatih Camisi'nde 41. kez okurlarla buluştu.",Kültür Sanat
28,Kültür ve Turizm Bakanı Ersoy: Fransa'da yakalanan 8 bin 659 eserimizi iade alıyoruz,"Kültür ve Turizm Bakanı Mehmet Nuri Ersoy, ""Fransa'da yakalanan 8 bin 659 eserimizi iade alıyoruz."" bilgisini verdi.",Kültür Sanat
29,Bu hafta 11 film vizyona girecek,"Sinema salonlarında bu hafta 8'i yerli, 11 film izleyiciyle buluşacak.",Kültür Sanat
30,Turistik trenlere iki rota daha eklendi,"Ulaştırma ve Altyapı Bakanı Abdulkadir Uraloğlu, ""Seyahatsever gezgin vatandaşlarımıza yepyeni iki rota daha sunuyoruz. Ankara ile Diyarbakır arasında Ankara-Diyarbakır-Ankara Turistik Treni, Ankara ile Tatvan arasında da Ankara-Tatvan-Ankara Turistik Treni işletilmeye başlanacak"" dedi.",Kültür Sanat
31,Aile büyüklerinden kalan İstiklal madalyasını Samsun müzesine bağışladı,"Kültür ve Turizm Bakanı Mehmet Nuri Ersoy'un açılışını yaptığı Samsun Müzesi'ne Anadolu Aslanları İş Adamları Derneği (ASKON) Samsun Şube Başkanı Ahmet Alp Doğru, aile büyüklerinden kalan İstiklal madalyasını bağışladı.",Kültür Sanat
32,Kültür ve Turizm Bakanı Ersoy: Türk müzeciliği örnek gösterilen bir konuma geldi,"Kültür ve Turizm Bakanı Mehmet Nuri Ersoy, devlet müzelerinin yanı sıra özel müzelerle de gücüne güç katan Türk müzeciliğinin dünyada ödül üstüne ödül alan ve örnek gösterilen bir konuma geldiğini söyledi.",Kültür Sanat
33,"""1915 Bir Hilal Uğruna"" 19 Mart’ta AKM’de","Çanakkale Savaşı’nı konu alan ""1915 Bir Hilal Uğruna”, zaferin 109'uncu yılında bu kez Atatürk Kültür Merkezi’nde sahnelenecek.",Kültür Sanat
34,"Mersin Devlet Opera ve Balesi ""Hamlet"" balesini sahneleyecek","Mersin Devlet Opera ve Balesi (MDOB) ""Hamlet"" balesini sanatseverlerle buluşturacak.",Kültür Sanat
35,Oyuncu Kayhan Yıldızoğlu son yolculuğuna uğurlandı,"Aralarında ""Kara Murat"" ve ""Malkoçoğlu""nun da olduğu 250'nin üzerinde filmde imparator, rahip ve kral gibi rollerde oynayan Kayhan Yıldızoğlu'nun cenazesi toprağa verildi.",Kültür Sanat
36,Kültepe'deki kazı çalışmalarına Güney Koreli bilim insanları da eşlik edecek,"Anadolu'da ilk yazılı belgelerin bulunduğu Kültepe Kaniş/Karum Höyüğü'ndeki kazı çalışmalarına, Kore Cumhuriyeti Ulusal Kültürel Miras Araştırma Enstitüsü uzmanlarından bir heyetin de katılacağı bildirildi.",Kültür Sanat
37,96'ncı Oscar ödülleri sahiplerini buldu,"Sinema dünyasının en gösterişli şovu bu yıl 96'ncı kez düzenlendi. Sinema Sanatları ve Bilimleri Akademisi (Academy of Motion Picture Arts and Sciences) tarafından verilen Oscar Ödülleri, Los Angeles'taki Dolby Tiyatrosu'nda sahiplerini buldu.",Kültür Sanat
38,Oyuncu Kayhan Yıldızoğlu vefat etti,"Aralarında ""Kara Murat"" ve ""Malkoçoğlu""nun da olduğu 250'nin üzerinde filmde imparator, rahip ve kral gibi rolleri canlandıran 90 yaşındaki oyuncu Kayhan Yıldızoğlu, yaşlılığa bağlı nedenlerle İstanbul'da evinde hayatını kaybetti.",Kültür Sanat
39,Karaelmas Turizm Ekspresi yolcularını tarih ve doğayla buluşturacak,"TCDD tarafından Ankara-Zonguldak hattında 12 Nisan'da başlatılması planlanan Karaelmas Turizm Ekspresi, tarihi mirası, doğal güzellikleri ve sanayinin gelişimini aynı rota üzerindeki turlarla deneyimleme imkanı sunacak.",Kültür Sanat
40,"Göbeklitepe 2,5 milyonu aşkın ziyaretçiyi ağırladı","""Tarihin sıfır noktası"" olarak nitelendirilen ve 2019 yılında resmi açılışı yapılan Göbeklitepe Ören Yeri, aradan geçen sürede 2 milyon 551 bin ziyaretçiyi ağırladı.",Kültür Sanat
41,"tabii'nin sevilen dizisi ""Küçük Dahi İbn-i Sina""ya bir ödül daha","TRT'nin uluslararası dijital platformu tabii'nin sevilen dizisi Küçük Dahi İbn-i Sina, Zeka Oyunları Şampiyonası'nda ""En İyi Yapım Dijital İçerik"" ödülüne layık görüldü. Ödülü, dizinin başarılı çocuk oyuncuları aldı. Dizi geçtiğimiz günlerde de “İnovasyon ve Başarı Ödülleri”nde “En İyi Dijital Platform Dizisi Ödülü”nü almıştı.",Kültür Sanat
42,Bakan Ersoy: Myra ve Andriake için 500 milyon lira ödenek ayırıyoruz,"Kültür ve Turizm Bakanı Mehmet Nuri Ersoy, Myra Antik Kenti ve Andriake Limanı'nda yürütülecek kazı ve restorasyon çalışmalarına 500 milyon lira ödenek ayırdıklarını açıkladı.",Kültür Sanat
43,Bu hafta 10 film vizyona girecek,"Sinema salonlarında bu hafta üçü yerli, 10 film izleyiciyle buluşacak.",Kültür Sanat
44,Panama’da altınlarla süslü 1300 yıllık mezar bulundu,"Orta Amerika ülkesi Panama'da, 1300 yıldan daha eski olduğu tahmin edilen bir mezar bulunduğu bildirildi.",Kültür Sanat
45,Çatalhöyük'te 8 bin 600 yıllık ekmek bulundu,"Dünyada kentleşmenin olduğu ilk yerlerden Çatalhöyük'teki kazıda 8 bin 600 yıllık ""ekmek"" bulundu.",Kültür Sanat
46,Mukaddes Emanetler Dairesi ramazana hazırlanıyor,"Topkapı Sarayı'nın en çok merak ve ziyaret edilen bölümlerinden Mukaddes Emanetler Dairesi, uzun bir aradan sonra ilk defa sergilenecek eserlerle ramazan ayına hazırlanıyor.",Kültür Sanat
47,Müslüm Gürses vefatının 11. yılında mezarı başında anıldı,"""Arabeskin Babası"" veya ""Müslüm Baba"" olarak tanınan arabesk ve halk müziği sanatçısı Müslüm Gürses, vefatının 11. yılında mezarı başında anıldı.",Kültür Sanat
48,Yaklaşık 700 yıllık Köşk Medrese kültür ve sanat merkezi olarak hizmet verecek,"Tarih boyunca medrese, kışla, aşevi gibi amaçlarla kullanılan Kayseri'deki yaklaşık 700 yıllık Köşk Medrese, geçirdiği restorasyonun ardından kültür ve sanat merkezi olarak hizmet vermeye hazırlanıyor.",Kültür Sanat
49,Uluslararası Mektup Yazma Yarışması'na başvurular başladı,"Evrensel Posta Birliği (UPU) tarafından bu yıl 53'üncüsü düzenlenen Uluslararası Mektup Yazma Yarışması için adaylar 19 Nisan'a kadar başvurabilecek, yarışma sonuçları ekim ayında duyurulacak.",Kültür Sanat
50,Devlet Türk Sanatları Yarışmasına başvurular başlıyor,Türk sanatlarını destekleyerek gelişmesini ve yaygınlaşmasını sağlayan Devlet Türk Sanatları Yarışmasının 22'ncisi için başvurular 4 Mart'ta başlayacak.,Kültür Sanat
51,Depremde hasar gören Şanlıurfa'daki tarihi Ulu Cami onarılıyor,Şanlıurfa'da 6 Şubat 2023 tarihindeki depremlerde hasar alan Ulu Cami'nin restorasyonu sürüyor.,Kültür Sanat
52,"Devlet Tiyatroları, martta 7 bölgede 8 oyunun prömiyerini yapacak","Devlet Tiyatroları, mart ayında 8 oyunu ilk kez seyirciyle buluşturacak.",Kültür Sanat
53,MİT Müzesi ilk kez TRT Haber'de,"Milli İstihbarat Teşkilatı'nın (MİT) yenilenen müzesi, kapılarını ilk kez TRT Haber'e açtı. Müzede, MİT'in geçmiş dönemde kullandığı araçlar, şifreli belge ve eşyanın yanında, tarihi operasyonların görüntüleri sergileniyor. TRT Haber Haber Koordinatörü Ahmet Görmez, MİT'in 'Kale' yerleşkesindeki o müzedeydi.",Kültür Sanat
54,Bu hafta 9 film vizyona giriyor,"Sinema salonlarında bu hafta ikisi yerli, 9 film vizyona girecek.",Kültür Sanat
55,İsrail’in Eurovision’a sunduğu ikinci şarkı da reddedildi,"Avrupa'da İsrail'in Eurovision Şarkı Yarışması'ndan menedilmesi çağrıları devam ederken, Tel Aviv yönetiminin yarışma için sunduğu ikinci şarkının da siyasi mesaj içerdiği nedeniyle reddedildiği belirtildi.",Kültür Sanat
56,Edirne Mevlevihanesi'nin toprak altında kalan temellerine ulaşıldı,"Ayağa kaldırılacak Edirne Mevlevihanesi'nin toprak altında kalan temellerine ulaşıldı, yapının inşasına kısa sürede başlanacak.",Kültür Sanat
57,"TRT'nin yeni dizisi ""Mehmed: Fetihler Sultanı""nın galası yapıldı","Fatih Sultan Mehmet'in hayatını ele alan ""Mehmed: Fetihler Sultanı"" dizisi, TRT 1'de ekran yolculuğuna başladı.",Kültür Sanat
58,Fahrettin Altun: Dünya genelinde bir milyara yakın insan Türk dizilerini izliyor,"İletişim Başkanı Fahrettin Altun, son 3 yılda küresel alanda Türk dizilerine olan talebin yüzde 183 oranında arttığını belirterek, ""Bugün dünya genelinde bir milyara yakın insan Türk dizilerini izlemektedir ve bu çok kritik bir unsurdur. Gerçekten de bu yönüyle baktığımızda gerçek bir başarıyla karşı karşıyayız."" dedi.",Kültür Sanat
59,"""Kur'ani Damlalar"" hat sergisi Taksim Camisi Kültür Sanat Merkezi'nde açıldı","Hattat Mehmet Arif Vural'ın hazırladığı ""Kur'ani Damlalar"" başlıklı hüsn-i hat sergisi, Taksim Camisi Kültür Sanat Merkezi'nde sanatseverlerle buluştu.",Kültür Sanat
60,"Kırgız ressam, 70 bin çivi ve tel kullanarak Cumhurbaşkanı Erdoğan'ın portresini yaptı","Kırgız ressam Azamat Janaliyev, Cumhurbaşkanı Recep Tayyip Erdoğan'ın 70. yaş günü nedeniyle 70 bin çivi ve tel kullanarak portre hazırladı.",Kültür Sanat
61,"PTT'den ""Sagalassos Antik Kenti"" anma pulu","PTT AŞ, ""Sagalassos Antik Kenti"" konulu anma pulunu ve ilk gün zarfını tedavüle sundu.",Kültür Sanat
62,14 bin dolarlık tablonun sırrı ortaya çıktı: Değeri 14 milyon dolar oldu,"İki yıl önce 14 bin dolar değer biçilen 17. yüzyıla ait bir tablonun, ünlü ressam Rembrandt'a ait olduğu ortaya çıktı. Bu sırrın gün yüzüne çıkmasının ardından tablonun değeri 14 milyon dolara çıktı.",Kültür Sanat
63,Dervişin yolculuğu sergisi sanatseverlerle buluştu,"Gaziantep Büyükşehir Belediyesi ev sahipliğinde, tasavvuf kültürüne sanatsal, siyasal, mimari ve estetik bir zeminde ışık tutan Dervişin Yolculuğu sergisi düzenlenen açılış töreniyle ziyarete açıldı.",Kültür Sanat
64,"Yer altındaki tuz mağaraları, kışın da turistlerin ziyaret rotasında oluyor","Iğdır'da 2022 yılında açılan ve bugüne kadar 310 bin ziyaretçi ağırlayan Tuz Terapi Merkezi, kış aylarında da merak uyandırıyor.",Kültür Sanat
65,Divriği Ulu Camii ve Darüşşifası yaz aylarında ziyarete açılacak,"Sivas Valisi Yılmaz Şimşek, UNESCO Dünya Kültür Miras Listesi'nde yer alan Divriği Ulu Camii ve Darüşşifası'nda restorasyonun yaz aylarında tamamlanacağını söyledi.",Kültür Sanat
66,"Pamukkale, sıcak hava balon turlarıyla da turist çekiyor","UNESCO Dünya Mirası Listesi'nde yer alan Pamukkale, sıcak hava balon turlarıyla da ilgi görüyor.",Kültür Sanat
67,Türkiye'ye ocakta 2 milyonu aşkın yabancı turist geldi,"Türkiye, ocak ayında 2 milyon 47 bin 27 yabancı ziyaretçi ağırladı.",Kültür Sanat
