,Başlık,İçerik,Kategori
0,"Real Madrid, ırkçı tezahürattan dolayı savcılığa suç duyurusunda bulundu","Real Madrid Kulübü, Şampiyonlar Ligi'nde hafta içinde oynanan Barcelona-Napoli ve Atletico Madrid-İnter maçlarında Brezilyalı futbolcusu Vinicius Junior'a yönelik ırkçı tezahürat yapıldığı gerekçesiyle savcılığa suç duyurusunda bulundu.",Spor
1,"Al Hilal, üst üste 28 galibiyetle dünya rekoru kırdı","Suudi Arabistan ekibi Al Hilal, üst üste 28. maçını kazanarak futbolda en uzun galibiyet serisini yakalayan takım oldu.",Spor
2,Milli halterci Büşra Çan'dan bronz madalya,"Bulgaristan'da düzenlenen Avrupa Halter Şampiyonası'nda kadınlar 87 kiloda Büşra Çan, silkmede 127 kiloluk kaldırışıyla bronz madalyanın sahibi oldu.",Spor
3,Beşiktaş genç futbolcu Emirhan Delibaş ile yollarını ayırdı,"Beşiktaş Kulübü, 21 yaşındaki sağ kanat oyuncusu Emirhan Delibaş ile karşılıklı anlaşarak yollarını ayırdığını açıkladı.",Spor
4,Dezenformasyonla Mücadele Merkezi Süper Kupa iptalini yalanladı,"İletişim Başkanlığı Dezenformasyonla Mücadele Merkezi, Galatasaray ile Fenerbahçe arasında oynanması planlanan 2023 Süper Kupa Finali'nin iptal edildiği haberlerini yalanladı.",Spor
5,Barış Alper Yılmaz durmak bilmiyor,Barış Alper Yılmaz Galatasaray'ın MKE Ankaragücü'nü 3-0 yendiği maçta Davinson Sanchez'in attığı golün pasını verdi. Milli oyuncu böylece forma giydiği son 10 karşılaşmada takımına yaptığı 4 gol 4 asistlik katkıyla yıldızlaştı.,Spor
6,Çağlar Söyüncü performansıyla beğeni topladı,"Fenerbahçe'nin devre arasında transfer ettiği Çağlar Söyüncü, performansıyla beğeni topluyor. Sarı lacivertli formayı 3 maçta giyen milli oyuncu, başarısını istatistiklere de yansıttı.",Spor
7,VAR kayıtlarının açıklanacağı gün ve saat belli oldu,"Türkiye Futbol Federasyonu, Süper Lig’in 26. haftasında hakemlerin VAR monitörüne çağrıldığı pozisyonların kayıtlarının sesli ve görüntülü olarak yarın saat 20.00'de TFF Youtube kanalı üzerinden yayınlanacağını duyurdu.",Spor
8,Kulüpler Birliği Vakfından elektronik bilet açıklaması,"Kulüpler Birliği Vakfı, elektronik bilet satışı için organizasyon ve teknik altyapı kabiliyeti olan firmalarla görüşme kararı alındığını duyurdu.",Spor
9,Halkbank'ta hedef Şampiyonlar Ligi'nde yarı finale yükselmek,"Halkbank Erkek Voleybol Takımı, CEV Erkekler Şampiyonlar Ligi'nde İtalya'nın Cucine Lube Civitanova takımını eleyerek yarı finale yükselmeyi hedefliyor.",Spor
