,Başlık,İçerik,Kategori
0,Bodrum'da komşular arasında çıkan silahlı kavgada 1 kişi hayatını kaybetti,Muğla'nın Bodrum ilçesinde komşular arasında çıkan silahlı kavgada 1 kişi hayatını kaybetti.,Türkiye
1,Van kedilerinin sayısı artıyor,Türkiye'nin 'milli ırk' olarak tescillenen Van Kedisi ile ilgili koruma ve ıslah çalışmaları sürüyor. Van Kedi Villasında bu yılın ilk yavruları dünyaya geldi. Koruma altındaki kedilere 5 yeni yavru dahil oldu.,Türkiye
2,Seçim günü hava az bulutlu ve açık olacak,"Türkiye, yerel yöneticilerini seçmek için sandık başına gidiyor. Peki seçim günü hava nasıl olacak? Tahminlere göre; yurt genelinde yağış beklenmiyor. Hava sıcaklığı; 6 ila 10 derece arasında mevsim normallerinin üzerine çıkacak. Sıcak havanın etkisi, hafta ortasına kadar sürecek.",Türkiye
3,Edirne kan donduran cinayeti JASAT dedektifleri çözdü,"Edirne merkeze bağlı Hıdırağa köyünde yaşayan ve yaklaşık 10 gündür kayıp olarak aranan kişinin cesedi jandarmanın çalışmalarının ardından toprağa gömülü şekilde bulunurken, olayla ilgili köyde hayvan ağılında çalışan 1 şüpheli gözaltına alındı.",Türkiye
4,İstanbul'da PKK'ya operasyon: 2 tutuklama,İstanbul'da terör örgütü PKK/KCK'nın sözde gençlik yapılanmasına yönelik operasyonda gözaltına alınan 13 şüpheliden ikisi tutuklandı.,Türkiye
5,"Çankırı'da tır otomobilin üzerine devrildi: 4 ölü, 3 yaralı","Çankırı'nın Çerkeş ilçesinde tırın otomobilin üzerine devrilmesi sonucu 4 kişi yaşamını yitirdi, 2'si polis 3 kişi yaralandı.",Türkiye
6,Oy kullanılacak okullar seçime hazır,Yarın yapılacak Mahalli İdareler Genel Seçimleri için yurt genelindeki okullarda hazırlıklar tamamlandı.,Türkiye
7,"Türkiye, çöl tozunun etkisinde kalacak","İstanbul Teknik Üniversitesi (İTÜ) Öğretim Üyesi Prof. Dr. Hüseyin Toros, Türkiye'nin 1 hafta boyunca Afrika üzerinden gelen çöl tozunun etkisi altında kalacağını söyledi.",Türkiye
8,Seçim günü parçalı ve az bulutlu hava bekleniyor,"Türkiye, 31 Mart'ta yapılacak Mahalli İdareler Genel Seçimleri'ne parçalı ve az bulutlu bir havada girecek. Sıcaklıklar mevsim normallerinin üzerinde seyretmeye devam edecek.",Türkiye
9,"68 ilde ""Mercek-15"" operasyonu: 750 silah ele geçirildi","68 ilde ruhsatsız silah taşıyan şahıslara ve silah kaçakçılarına yönelik 4 gündür devam eden “Mercek-15” operasyonlarında 878 şüpheli hakkında işlem yapıldı, 750 silah ele geçirildi.",Türkiye
10,Aydın'da otomobille çarpışan motosikletin sürücüsü hayatını kaybetti,Aydın'ın Nazilli ilçesinde otomobille çarpışan motosiklet sürücüsü hayatını kaybetti.,Türkiye
11,Adıyaman'da işçilerin kaldığı konteynerlerde yangın,Adıyaman'da inşaat işçilerinin kaldığı konteynerlerde çıkan yangın itfaiye ekiplerince söndürüldü.,Türkiye
12,Bitlis'te keklik avına para cezası,Bitlis'te keklik avlayan 4 kişiye 106 bin 135 lira para cezası uygulandı.,Türkiye
13,"Elazığ'da 4,7 büyüklüğünde deprem","Elazığ'da 4,7 büyüklüğünde deprem meydana geldi. Deprem 13,83 kilometre derinlikte gerçekleşti.",Türkiye
14,Ankara'da bazı yollar trafiğe kapatılacak,"Ankara'da bugün düzenlenecek ""Açık Yer Toplantısı"" nedeniyle bazı yollar araç trafiğine kapatılacak.",Türkiye
15,Bursa'da şarampole devrildikten sonra tankerin sürücüsü öldü,Bursa'nın Kestel ilçesinde şarampole devrildikten sonra yanan azot yüklü tankerin şoförü hayatını kaybetti.,Türkiye
16,Siirt'te 6 araçlı zincirleme trafik kazası,Siirt'te 6 aracın karıştığı kazada maddi hasar oluştu.,Türkiye
17,"Bakan Yerlikaya: Bizim kodlarımızda bir asalet, bir cesaret vardır","İçişleri Bakanı Ali Yerlikaya, ""Bizim kodlarımızda, inancımızda, 2 bin 200 yıllık devlet geleneğimizde bir asalet, bir cesaret vardır. Kim meydan okuyorsa önce 'Akıllı olun ve kimle uğraştığınızı biliyor musunuz?' deriz. Bizim dostluğumuz, kardeşliğimiz dünyada yoktur. Sonra da 'Ama fitne ve bozguncularla da mücadelemiz destansı olur"" dedi.",Türkiye
18,Kahramanmaraş’ta 3.8 büyüklüğünde deprem,Kahramanmaraş’ın Göksun ilçesinde 3.8 büyüklüğünde deprem meydana geldi.,Türkiye
