,Başlık,İçerik,Kategori
0,"Bilim insanları, eylüle kadar yeni bir yıldız patlamasının gözlemlenmesini bekliyor","Bilim insanları, Dünya'nın, eylüle kadar ""Nova"" adı verilen bir yıldız patlamasına tanıklık edeceğini ve bu olayın gökyüzünde ""yeni bir yıldız doğmuş"" gibi görüleceğini öngörüyor.",Uzay
1,Neptün ve Uranüs etrafında yeni uydular tespit edildi,"Gök bilimciler, Neptün ve Uranüs etrafında daha önce bilinmeyen uydular tespit etti.",Uzay
2,Şimdiye kadar kaydedilen en güçlü kara delik patlamalarından biri tespit edildi,"Gökbilimciler, Dünya'dan 3,8 milyar ışık yılı uzakta bulunan ve SDSS J1531 olarak bilinen galaksi kümesinde şu ana kadar kaydedilen en güçlü kara delik patlamalarından birini tespit etti.",Uzay
3,Japonya dünyanın ilk ahşap uydusunu fırlatacak,Japon bilim insanları ahşaptan yaptıkları uyduyla tarihin en sıradışı uzay araçlarından birini geliştirdi. Manolya ağacından yapılan uzay aracının çevreci bir alternatif sunması umuluyor. Ahşap uydu Dünya'ya geri dönüş yolculuğunda tamamen yanarak kül olacak.,Uzay
4,Uzayda bir ilk daha: İki asteroitin yüzeyinde su tespit edildi,"SOFIA kızılötesi teleskopundan elde edilen verileri kullanan yeni bir araştırmada, Iris ve Massalia isimli asteroitlerin yüzeyinde su keşfedildi.",Uzay
5,Bennu asteroidinin ilk sonuçları açıklandı: Eski bir okyanus dünyasından geldi,"Bennu asteroidinden getirilen parçaların analizine başlayan NASA bilim insanları, asteroidin içerdiği malzemenin eski bir okyanus dünyasından geldiğini gösterdiğini duyurdu.",Uzay
6,"Satürn'ün uydusu Mimas, geniş bir yer altı okyanusuna sahip olabilir","Araştırmacılar, Satürn'ün uydusu Mimas'ın buzla kaplı dış yüzeyinin altında geniş bir okyanusun olabileceğini ortaya koydu.",Uzay
7,"Gezeravcı'nın da bulunduğu Ax-3 ekibi, 9 Şubat'ta Daytona Beach'e inecek","Türkiye'nin ilk astronotu Alper Gezeravcı'nın da içinde bulunduğu Axiom-3 (Ax-3) ekibini taşıyan Dragon kapsülünün, 9 Şubat'ta ABD yerel saatiyle 08.30'dan sonra (TSİ 16.30) Florida'da Daytona Beach bölgesinde okyanusa iniş yapması bekleniyor.",Uzay
8,Gezeravcı Dünya'ya dönüyor,"Türkiye'nin ilk astronotu Alper Gezeravcı'nın da içinde yer aldığı Axiom-3 ekibi, Dragon kapsülüyle Uluslararası Uzay İstasyonu'ndan ayrıldı.",Uzay
9,"NASA, Jüpiter'in uydusu Io'daki volkanik patlamaları görüntüledi","NASA'nın Juno uzay aracı, Güneş Sistemimizin volkanik açıdan en aktif gezegeni Jüpiter'in uydusu Io'nun ayrıntılı görüntülerini çekti. Bu yakın geçiş sırasında uzay aracı, Io'nun yüzeyinde gerçek zamanlı olarak patlayan volkanik aktivite bulutlarını tespit etti.",Uzay
10,'Şehir Katili' asteroit Dünya'nın yanından geçmek üzere,"NASA'nın Jet Propulsion Laboratuvarı, Dünya'ya doğru uçan, ""şehir katili"" lakaplı bir asteroit tespit etti. Asteroid bugün, gezegenimizden yaklaşık 3 milyon kilometre uzaklıktan geçecek.",Uzay
11,"Ax-3'ün misyon lideri, Gezeravcı'nın da yer aldığı ekibin fotoğrafını paylaştı","İlk Türk Astronot Alper Gezeravcı'nın yer aldığı Axiom-3 (Ax-3) ekibinin misyon lideri Michael Lopez-Alegria, ekibin fotoğrafını paylaştı.",Uzay
12,Gökbilimciler yaşanabilir bir Dünya olabilecek yeni Süper Dünya buldu,"Gökbilimciler, yaklaşık 137 ışık yılı uzaklıkta bir M-cüce (kırmızı cüce) yıldızın yörüngesinde dönen yeni bir Süper Dünya buldu.",Uzay
13,Çin yapay zekanın kontrol ettiği ilk ticari hiper uydusunu fırlattı,"Çin, dünyada yapay zeka teknolojisiyle çalışan ilk ticari ""hiper uydu""sunu yörüngeye yolladı.",Uzay
14,Dünya'ya 137 ışık yılı uzaklıkta bir ötegezegen keşfedildi,"Bilim insanları yaptıkları araştırmada, Dünya'ya 137 ışık yılı uzaklığındaki ""TOI-715"" adı verilen kırmızı cüce yıldızın yörüngesinde, yaşanabilir bölgede dolaşan bir ""Süper Dünya"" ötegezegen keşfetti.",Uzay
15,"NASA, 19 spiral galaksinin fotoğrafını yayınladı","ABD Havacılık ve Uzay Ajansı (NASA), James Webb Uzay Teleskobu ile görüntüledikleri 19 spiral galaksinin fotoğrafını yayınladı.",Uzay
16,Ay küçülüyor astronotlar için tehlike büyüyor,"Yeni bir araştırmaya göre Ay giderek küçülüyor ve bu da gelecekteki astronotlara tehdit oluşturabilecek toprak kaymalarının artmasına yol açıyor. Son jeolojik zaman aralığında, iç kısmının soğuyup büzülmesiyle, Ay'ın tamamı yaklaşık 100 metre küçüldü.",Uzay
17,Samanyolu'nda gizemli bir nesne bulundu,"Bilim insanlarının Samanyolu'nda keşfettiği gizemli nesne, kara delik araştırmalarında bir atılıma yol açabilir.",Uzay
18,Tam Güneş tutulması bu yıl 32 milyon insan için güneşi kapatacak,"Ay'ın Güneş'in yüzünü tamamen kapattığı tam güneş tutulması, 8 Nisan öğleden sonra gerçekleşecek. Dışarıyı kısa süreliğine karanlığa çeviren manzara, Kuzey ve Orta Amerika'nın dar bir şeridinde tahminen 32 milyon insan tarafından görülebilecek.",Uzay
19,Mars'ta antik bir gölün varlığını doğrulayan veriler toplandı,"ABD Havacılık ve Uzay Ajansı (NASA), Mars yörüngesindeki uyduları ve yüzeyde araştırma yapan Perseverance keşif aracının, Mars'ta ""Jezero Krateri"" adı verilen havzada antik bir gölün varlığını doğrulayan veriler topladığını duyurdu.",Uzay
20,Yeni keşfedilen asteroid yarın Dünya’nın yakınından geçecek,"Gökbilimciler tarafından yeni tespit edilen asteroid 2024 BJ, yarın Dünya'ya yaklaşacak.",Uzay
21,"Pentagon, bazı uzay programlarının gizliliğini kaldırıyor","Amerika Birleşik Devletleri Savunma Bakanlığı, ülkenin uzaydaki askeri üstünlüğünü artırmak amacıyla daha fazla uzay programının gizliliğini kaldırmayı planlıyor. Pentagon'daki bazı yetkililer yıllardır yeni bir sınıflandırma politikası çağrısında bulunuyorlardı. Bu yeni politika sayesinde bazı çok gizli uzay teknolojileri kamuya açılacak.",Uzay
22,"Uluslararası Uzay İstasyonu, 24 yıldır bilinmezlere ışık tutuyor","Uluslararası Uzay İstasyonu (UUİ), farklı ülkelerden astronotları bir araya getirerek küçük bir Dünya oluştururken evrene ışık tutmak için gerçekleştirilen birçok deneye de ev sahipliği yapıyor.",Uzay
23,Tarihin bilinen en eski kara deliği keşfedildi,"Kozmik Şafak olarak adlandırılan dönemde ortaya çıktığı düşünülen süper kütleli kara delik, şimdiye kadar tespit edilmiş en eski kara delik olarak kayıtlara geçti.",Uzay
24,"NASA, teleskoplarıyla süpernova kalıntısındaki ""Yeşil Canavar""ın izini sürüyor","ABD Ulusal Havacılık ve Uzay Ajansı (NASA), ilk kez Chandra X-ışını Gözlemevi, James Webb Uzay Teleskobu ve Hubble Uzay Teleskobu'nun verilerini birleştirerek süpernova kalıntısı Cassiopeia A'yı (Cas A) ve barındırdığı ""Yeşil Canavarı""ı görüntüledi.",Uzay
25,"ABD'den Ay'a iniş için gönderilen ""Peregrine"" adlı uzay aracında sorun çıktı","ABD Ulusal Havacılık ve Uzay Ajansının (NASA) ""Ticari Ay Yükü Hizmetleri (CLPS) Programı"" kapsamında Ay'a iniş için fırlatılan “Peregrine” adlı uzay aracı teknik bir sorunla karşı karşıya kaldı.",Uzay
26,ABD'nin 50 yıl aradan sonra Ay'a dönüşü Vulcan ile oldu,"ABD Havacılık ve Uzay Ajansı (NASA), 1972 yılından bu yana ilk Ay misyonuna başlıyor. 23 Şubat Cuma günü Ay’a inmesi planlanan ilk ticari iniş aracını taşıyan Vulcan Centaur roketi bugün Florida'dan fırlatıldı.",Uzay
27,Bilim insanları endişeli: Ay'ın sömürülmesi büyük zarara neden olabilir,"Birçok şirket gelecek yıllarda Ay'a gitmek için birbiriyle rekabet ederken, bilim insanları uydunun düşüncesizce sömürülmesinin geri dönüşü olmayan hasarlara neden olabileceğinden endişe ediyor.",Uzay
28,Neptün ve Uranüs sıklıkla betimlendiği gibi koyu mavi ve açık yeşil değil,"İngiltere'de yapılan bir araştırmada, Neptün ve Uranüs'ün gerçek renklerinin, kaynaklarda sıkça betimlendiği gibi koyu mavi ve açık yeşil olmadığı ortaya çıktı.",Uzay
29,"NASA, Jüpiter'in Uydusu Io'nun en yakın görüntüsünü yakaladı","NASA'nın Juno uzay aracı, Jüpiter'in uydusu Io'ya 20 yıldan fazla bir süredir herhangi bir uzay aracının ulaşamadığı kadar yaklaştı. NASA, Juno'nun Jüpiter'in uydusunun bin 500 km üzerinde uçtuğunu duyurdu.",Uzay
30,"NASA, 31 milyon kilometre öteden Dünya'ya kedi videosu gönderdi","NASA'nın uzay aracı Psyche, bir kedi videosunu 31 milyon kilometre öteden lazerle Dünya'ya gönderdi. Yüksek çözünürlüklü kedi videosunu göndermek için son teknoloji ürünü bir lazer iletişim sistemi kullanıldı.",Uzay
31,Satürn'ün uydusunda yaşam için gerekli bileşenlerden hidrojen siyanür bulgusuna rastlandı,"Amerika Ulusal Havacılık ve Uzay Dairesi (NASA), Satürn'ün uydularından Enceladus'ta yaşam için gerekli bileşenlerden hidrojen siyanürün varlığına dair güçlü bulgulara rastladı.",Uzay
32,NASA'dan kayıp göktaşı uyarısı: 2024'te Dünya'ya çarpabilir,"2007'de ilk kez tespit edildikten sonra teleskopların görüş açısından çıkan ""kayıp asteroit"", gelecek yıl Dünya'ya çarpma ihtimali taşıyor.",Uzay
33,Avrupa Uzay Ajansının Euclid Teleskobu'nun ilk fotoğrafları paylaşıldı,"Avrupa Uzay Ajansı (ESA), Euclid Uzay Teleskobu'nun çektiği ilk fotoğrafları paylaştı.",Uzay
34,"Çin, ""Tienhui-5"" yer gözlem uydusunu fırlattı","Çin, çok amaçlı yer gözlem uydusu ""Tienhui-5""i uzaya gönderdi.",Uzay
35,Çinli taykonotları taşıyan Şıncou-17 mekiği uzay istasyonuna ulaştı,Çin'in Dünya yörüngesinde kurduğu uzay istasyonuna gönderdiği yeni taykonot ekibi hedefine ulaştı.,Uzay
36,"Çin, uzay istasyonuna yeni taykonot ekibini yolladı",Çin'in Dünya yörüngesinde kurduğu Tiengong (Gök Sarayı) Uzay İstasyonu'nda görev yapacak 6. taykonot ekibi yola çıktı.,Uzay
37,"Çin uzaktan algılama özellikli ""Yaogan-39"" uydularını fırlattı","Çin, uzaktan algılama özellikli ""Yaogan"" sınıfı yer gözlem uydularını uzaya gönderdi.",Uzay
38,Bilim insanları Ay'ın içinde ne olduğunu doğruladı,"Ay'ın iç çekirdeğinin, aslında demirinkine benzer yoğunluğa sahip katı bir top olduğu açıklandı. Araştırmacılar bunun, Ay'ın iç kalbinin katı mı yoksa erimiş mi olduğu konusundaki uzun tartışmanın çözümlenmesine yardımcı olacağını söyledi.",Uzay
39,Ozon tabakasındaki delik en büyük genişliklerinden birine ulaştı,"Antarktika kıtası üzerindeki ozon tabakasında oluşan delik, bu yıl en büyük genişliklerinden birine ulaştı.",Uzay
40,James Webb Teleskobu Orion Bulutsusu'nda 42 çift gezegenimsi cisim keşfetti,ABD Havacılık ve Uzay Ajansının (NASA) James Webb Uzay Teleskobu (JWST) Orion Bulutsusu'nun içerisinde 42 çift gezegenimsi cisim buldu.,Uzay
41,"Çinli bilim insanı: Hindistan, Ay'ın güneyinin yakınına bile inemedi","Çin'in Ay keşif programının babası olarak kabul edilen Ouyang Ziyuan, Hindistan gezicisinin Ay'ın güney kutbuna inmediğini, hatta yakınında bile olmadığını söyledi.",Uzay
42,"Çin'in dev radyo teleskobu, 76 ""soluk pulsar"" keşfetti","Çin'in Beşyüz Metre Aralıklı Küre Teleskobu'nun (FAST), ""soluk pulsar"" adı verilen, kendi etrafında dönerken nadiren manyetizma yayan 76 nötron yıldızı keşfettiği bildirildi.",Uzay
43,"NASA'nın 1,2 milyar dolarlık Psyche misyonu bir hafta ertelendi","NASA, Psyche asteroit görevini bir hafta erteledi. 1,2 milyar dolarlık görev, Mars ve Jüpiter arasında bulunan Psyche asteroitini inceleyecek.",Uzay
44,"Perseverance, Mars topraklarındaki toz şeytanını görüntüledi","NASA'nın Mars gezgini, kızıl gezegenin yüzeyinde hareket eden 1,6 metre uzunluğunda ve 60 metre genişliğindeki toz şeytanını (dalaz) görüntüledi.",Uzay
45,Prof. Derman: “Evrendeki mesafeler nedeniyle uzaylı iddiaları gerçekçi değil.”,"Tanımlamayan gök cisimleri her dönem insanların ilgi odağı oldu. “Uzaylı mumyaları” iddiasıyla konu yine gündemde. Türkiye’nin saygın astronomlarından Prof. Dr. Ethem Derman, evrendeki mesafeler başta olmak üzere farklı nedenlerle, bu iddiaların gerçekçi olmadığını belirterek, “Bugüne dek ne gelen ne giden bir uzaylı olmamıştır…” diyor.",Uzay
46,Varlıkları yıllardır tartışılıyor: Uzaylılar hakkında efsane iddialar,"Dünya dışı varlıklar ve UFO'lar hakkındaki hikayeler, insanların merakını cezbetse de bu iddialar bilimsel temeli olmayan birçok sahte gözleme dayanıyor. Bugüne kadar ortaya atılan iddialar çoğu zaman paniğe yol açsa da uzaylı hikayelerine yenileri eklenmeye devam ediyor. İşte bazıları masum bazıları endişe verici o hikayeler...",Uzay
47,"Çin, uzaktan algılama özellikli ""Yaogan-39"" uydusunu fırlattı","Çin, uzaktan algılama özellikli ""Yaogan"" sınıfı yer gözlem uydusunu uzaya gönderdi.",Uzay
48,NASA'nın Ay yüzeyinde terk ettiği uzay aracı 'Ay depremleri'ne yol açabilir,"Araştırmaya göre, NASA'nın Ay yüzeyinde bıraktığı Apollo 17 uzay aracı, ""Ay depremleri"" diye bilinen küçük sarsıntılara neden olabilir.",Uzay
49,Uzak bir gezegende yaşam belirtisine dair kanıt bulunmuş olabilir,"Amerikan Havacılık ve Uzay Dairesi'nin (NASA) James Webb Uzay Teleskobu, uzak bir gezegende yaşam belirtisine dair henüz kesinleşmemiş veriler elde etti.",Uzay
50,Çin'in Tiencou-5 kargo mekiği atmosfere kontrollü şekilde döndü,"Çin'in dünya yörüngesindeki Tiengong Uzay İstasyonuna ikmal seferi yapan Tiencou-5 kargo mekiği, atmosfere kontrollü şekilde döndü.",Uzay
51,Uzayda bir ilk daha: Mars'ta solunabilir oksijen üretildi,"NASA'nın Perseverance gezgini, Kızıl Gezegen'deyken yetişkin bir insanı üç saat boyunca ayakta tutmaya yetecek kadar (4,3 ons) solunabilir oksijen üretti.",Uzay
52,Pentagon UFO haritası yayınladı: Üç bölge yoğunlukta,"UFO ve uzaylı tartışmaları tüm hızıyla devam ederken, ABD Savunma Bakanlığı (Pentagon) gizliliği kaldırılan belgelerin yayınlanacağı internet sitesinin geçen 30 Ağustos'ta açıldığını duyurdu. Dünya üzerinde en çok UFO görülen noktaların da harita ile belirtildiği sitede, bu konuda yapılacak ihbarlar da kabul edilecek.",Uzay
53,Yeni keşfedilen kuyruklu yıldız bu hafta sonu gözlemlenebilecek,Sadece bir ay önce keşfedilen Nishimura adlı kuyruklu yıldız bu hafta sonu çıplak gözle görülebilecek. Bir sonraki geçişi ise 437 yıl sonra olacak.,Uzay
54,"Güneş patlaması, kuyruklu yıldızın kuyruğunu parçaladı",Nishimura Kuyruklu Yıldızı'nın Güneş'ten yayılan yüklü parçacık patlamaları nedeniyle kuyruğunu kaybettiği anlar astrofotoğrafçılar tarafından kayıt altına alındı.,Uzay
55,Çin CERES-1 roketiyle denizden 4 uydu fırlattı,"Çin, özel bir şirket tarafından geliştirilen ilk taşıyıcı roketi CERES-1 ile denizden 4 uyduyu uzaya yolladı.",Uzay
56,SN1987A adlı süpernovanın yeni detaylı görüntüleri yakalandı,"ABD Havacılık ve Uzay Ajansının James Webb Uzay Teleskobu, Büyük Macellan Bulutu'nda yer alan ve 1987'de keşfedilen ""Supernova 1987A"" adlı gök cisminin inciden yapılmış bir gerdanlığı andıran yeni detaylı görüntülerini kaydetti.",Uzay
57,"Hindistan'a ait uzay keşif aracı, Ay'ın güney kutbundaki görevini tamamladı","Hindistan'ın Chandrayaan-3 uzay keşif aracı, Ay'ın güney kutbundaki görevini tamamlamasının ardından uyku moduna alındı.",Uzay
58,"Ay'a başarılı iniş yapan Hindistan, şimdi de Güneş'e araç yolluyor","Hindistan'ın uzay ajansı ISRO, Chandrayaan-3 görevi kapsamında bir uzay aracını Ay'a başarıyla indirdikten sadece birkaç gün sonra, Güneş'i incelemeyi amaçlayan yeni bir uyduyu bu hafta fırlatmaya hazırlanıyor.",Uzay
59,"Hindistan'a ait uzay keşif aracı, Ay'ın güney kutbunda çeşitli elementlerin varlığını tespit etti","Hindistan'ın Chandrayaan-3 uzay keşif aracının, Ay'ın güney kutbunda muhtelif elementleri tespit ettiği ve kükürt varlığını doğruladığı açıklandı.",Uzay
