,Başlık,İçerik,Kategori
0,İstanbul'un manevi önderlerinden Aziz Mahmud Hüdayi'nin sofrası dünyaya ulaşıyor,"Döneminde halktan sultanlara kadar sevenleri bulunan, kurduğu külliyesinde zengin fakir demeden insanları doyuran Hüdayi'nin Üsküdar'daki türbesine yapılan ziyaretler ve adına kurulan vakfın çalışmalarıyla dünya genelinde de sürüyor.",Yaşam
1,Marmara Denizi’nde denizanası istilası,Marmara Denizi’nde kilometrelerce uzunlukta yayılan denizanası havadan çekilen görüntülerle gözler önüne serildi. Uzmanlar denizanası popülasyonu artışında küresel ısınma ve deniz kirliliğinin etkisi olduğunu söyledi.,Yaşam
2,Safranbolu'nun 'sakin şehir' listesine dahil olması sevinçle karşılandı,"UNESCO Dünya Mirası Listesi'nde yer alan, Karabük'ün tarihi Safranbolu ilçesi 'Sakin Şehir' ünvanı aldı. Bu gelişme, ilçede sevinçle karşılandı.",Yaşam
3,Kafkas vaşağı karlı arazide gündüz avlanırken görüntülendi,"Av için genellikle karanlığı tercih eden, nesli tehlike altındaki Kafkas vaşağı, Kars'ın Sarıkamış ilçesinde karla kaplı arazide gündüz avlanırken görüntülendi.",Yaşam
4,Depremde eşi ve sporcularını kaybeden antrenör sporla yeniden hayata tutundu,"Depremlerde Gaziantep'in Nurdağı ilçesinde eşini, yeğenini ve yetiştirdiği birçok sporcusunu kaybeden, kendisi de enkazdan çıkarılan milli tekvando antrenörü Hasan Özdemir, sporla yaşama yeniden bağlandı.",Yaşam
5,Yurtlardaki fazla yemekler ihtiyaç sahiplerine ulaştırılıyor,"Elazığ'da gönüllü üniversite öğrencileri, kaldıkları Gençlik ve Spor İl Müdürlüğü bünyesindeki yurtların yemekhanesindeki fazla yemekleri her gün ihtiyaç sahiplerine dağıtıyor.",Yaşam
6,Palandöken'de kayak sezonu nisana uzadı,Palandöken Kayak Merkezi’nde bir haftadır yağan karla birlikte sezon nisana uzadı. Yabancı turistlerin de yoğun ilgi gösterdiği merkezde otellerin doluluk oranı hafta sonları yüzde 60'lara kadar ulaşıyor.,Yaşam
7,Tüberkülozdan korunmak mümkün,"Verem bulaşıcı bir hastalık olmasına rağmen, günümüzde başarıyla tedavi edilebiliyor. Korunmanın en etkin yolu ise hastalığı taşıyan kişilerin tespit edilip erkenden tedavisine başlanmasından geçiyor. Bebeklik çağında uygulanan BCG aşısı da yine hastalıktan korunmada etkin bir role sahip.",Yaşam
8,CİMER'den yardım isteyen çift mutlu sona ulaştı,"Gaziantep'te aile büyükleri onaylamadığı için evlenemeyen çift, Cumhurbaşkanlığı İletişim Merkezine (CİMER) damadın yaptığı başvurunun ardından, kurum amirlerinin devreye girmesiyle bir süre önce evlendi.",Yaşam
9,"Türkiye'ye ""çöl tozu"" geliyor","Türkiye'ye Sahra Çölü'nden yoğun toz taşınımı bekleniyor. Uzmanlar, özellikle akciğer hastalıklarına sahip kişiler için maske takılmasını önerdi.",Yaşam
